,Fecha,PRECIO,DEMANDA,hidraulica,turbinacion bombeo,NUCLEAR,carbon,diesel,turbina de gas,turbina de vapor,ciclo combinado,eolica,solar fotovoltaica,solar termica,otras renovables,cogeneracion
3032,4/21/2019,39.68791667,575850.979,57292.882,10682.914,168382.998,9908.549,7088.208,1067.467,6128.182,78936.391,122166.155,12536.062,4701.331,9871.382,74082.272
3033,4/22/2019,55.76208333,622892.917,58267.131,5914.608,168156.477,17187.954,7378.558,1715.281,7652.406,127181.267,86282.691,19274.628,2375.664,9069.441,80797.619
3034,4/23/2019,49.2225,691440.392,60092.265,8444.158,167777.544,18935.103,7022.783,2173.21,7840.072,90089.033,181981.628,17294.915,5274.758,8895.515,82988.601
3035,4/24/2019,40.00791667,737862.824,59195.278,6400.966,167824.802,17966.172,6833.222,2626.325,7868.43,47783.275,292922.495,17851.359,21374.741,8117.213,82970.447
3036,4/25/2019,29.68583333,739947.966,61237.828,4858.194,167501.755,19246.208,6829.845,2168.211,7214.173,47498.955,295060.882,20829.553,28721.504,8119.331,78193.374
3037,4/26/2019,48.92458333,722351.575,72762.566,7482.04,161728.382,18412.961,6191.396,1345.894,5348.899,92713.543,183044.946,31794.162,28145.093,8859.586,85277.461
3038,4/27/2019,55.66583333,641476.76,71665.25,6593.972,145743.832,16220.451,5655.522,1303.117,5665.77,92647.191,95256.696,34053.706,25452.63,7989.507,82466.097
3039,4/28/2019,52.6025,580034.58,63891.766,1169.846,145952.288,15908.277,6274.525,861.317,6514.648,75444.312,116089.573,33499.24,25983.849,7664.574,81158.95
3040,4/29/2019,57.90916667,681641.153,79309.222,7706.537,145952.581,33398.149,6611.372,1607.651,7453.997,143003.025,67829.954,31104.123,24942.435,7868.448,84975.535
3041,4/30/2019,58.77875,693188.14,79043.951,8246.918,145687.07,31613.477,6131.222,1593.723,7718.103,139189.996,67012.825,31509.231,23766.877,7873.376,85814.125
3042,5/1/2019,50.28625,588783.574,65790.781,1676.432,145512.082,19856.361,5699.125,855.767,7007.928,76215.913,116245.476,29861.374,24535.239,8012.479,79507.656
3043,5/2/2019,45.64625,674320.005,60145.885,1532.653,145423.288,18277.866,6933.309,2346.499,6228.452,92142.151,196432.618,30165.788,22518.708,7885.353,83095.192
3044,5/3/2019,50.0975,696474.728,62890.086,7871.841,145359.961,18101.332,7525.544,2508.456,7182.994,110659.013,167152.111,27128.431,23420.66,8059.499,85132.449
3045,5/4/2019,44.47333333,634765.62,61320.945,5983.301,145297.947,14779.838,7485.413,1677.232,7375.829,85072.353,158726.063,32281.903,18929.195,8005.413,79899.02
3046,5/5/2019,33.87,585505.022,54024.643,4857.807,145171.736,10901.105,6776.382,971.972,5851.142,65845.277,180948.949,33167.381,16382.822,7864.924,75248.223
