"","Andalucía","Aragón","Asturias, Principado de","Balears, Illes","Canarias","Cantabria","Castilla y León","Castilla - La Mancha","Cataluña","Comunitat Valenciana","Extremadura","Galicia","Madrid, Comunidad de","Murcia, Región de","Navarra, Comunidad Foral de","País Vasco","Rioja, La"
"X2014M09","103.394","103.345"," 96.240","136.434","117.473"," 91.122","112.033","102.945"," 94.580"," 91.164","111.211"," 95.900"," 96.563"," 86.721"," 97.266","103.669","120.752"
"X2014M08"," 92.386"," 79.801"," 81.427","131.773","110.761"," 76.035"," 84.526"," 85.473"," 67.041"," 64.439","116.265"," 78.041"," 65.719"," 74.966"," 56.715"," 60.256"," 75.518"
"X2014M07","113.400","113.264"," 94.049","141.871","118.872"," 88.927","111.031","107.065","104.528","100.395"," 97.106"," 94.004"," 99.221"," 97.589"," 90.801","100.317","127.677"
"X2014M06","108.723","103.227"," 95.449","128.493","113.216"," 91.910","106.427"," 91.811"," 93.036"," 95.841"," 89.256"," 90.820"," 91.100"," 85.976"," 97.192","102.554","118.554"
"X2014M05","104.709","103.511"," 93.335","130.667","112.603"," 96.813","105.152"," 99.156"," 99.796"," 93.821"," 89.485"," 94.743"," 90.321"," 86.012"," 95.803"," 99.679","118.760"
"X2014M04"," 94.041"," 94.676"," 85.994","114.364","105.800"," 92.214","103.680"," 91.278"," 93.136"," 89.618"," 86.498"," 93.408"," 89.311"," 81.117"," 90.445"," 88.827","113.776"
"X2014M03","105.974","101.174"," 87.478","123.973","105.259"," 96.700","111.028"," 94.713"," 99.257"," 89.441"," 91.063"," 95.835"," 95.618"," 81.623"," 91.879","100.405","122.008"
"X2014M02"," 95.693"," 91.931"," 80.382","108.253","108.605"," 89.412","105.631"," 89.722"," 92.986"," 87.035"," 94.612"," 95.275"," 89.216"," 78.461"," 88.904"," 95.611","113.412"
"X2014M01","105.607"," 91.330"," 89.240","107.469","109.046"," 88.667","105.204"," 92.473"," 91.870"," 81.650"," 76.387"," 94.645"," 89.055"," 76.991"," 89.109"," 89.975","110.747"
"X2013M12","104.478"," 81.227"," 89.644","113.297","108.644"," 79.292"," 93.363"," 86.842"," 82.178"," 79.483"," 87.872"," 85.371"," 88.279"," 73.798"," 69.319"," 84.319"," 96.202"
"X2013M11"," 95.146"," 91.606"," 92.608","104.217","118.880"," 88.652","107.997"," 97.143"," 92.402"," 86.857"," 84.404"," 97.654"," 94.852"," 83.694"," 86.526","100.717","117.104"
"X2013M10","101.573"," 94.601","105.671","123.925","121.156"," 97.127","108.071","105.400","101.021"," 91.095"," 91.494","100.178"," 98.526"," 88.413"," 94.534","104.924","124.926"
"X2013M09"," 98.649"," 97.506"," 94.270","125.531","113.913"," 91.314","105.730","102.202"," 93.224"," 87.755","110.270"," 97.168"," 93.445"," 82.042"," 90.862"," 97.145","103.884"
"X2013M08"," 93.866"," 83.971"," 79.780","141.263","117.386"," 77.775"," 78.439"," 84.792"," 69.421"," 67.187","114.171"," 84.746"," 66.795"," 76.662"," 58.394"," 62.538"," 73.841"
"X2013M07","110.523","112.336"," 96.912","156.710","122.274"," 88.339","107.905","108.146","103.439"," 95.582"," 99.678","102.255"," 97.977"," 97.839"," 82.526"," 99.709","112.164"
"X2013M06"," 98.849","100.156"," 86.948","133.840","109.779"," 95.364"," 97.280"," 90.972"," 92.690"," 89.163"," 89.535"," 94.305"," 93.974"," 83.952"," 88.857","103.158","100.536"
"X2013M05","100.456","101.300"," 93.852","129.112","111.767"," 97.479","101.087"," 92.977"," 98.016"," 92.059"," 85.935","103.643"," 93.759"," 87.988"," 92.371","102.736","115.820"
