"","Andalucía","Aragón","Asturias, Principado de","Balears, Illes","Canarias","Cantabria","Castilla y León","Castilla - La Mancha","Cataluña","Comunitat Valenciana","Extremadura","Galicia","Madrid, Comunidad de","Murcia, Región de","Navarra, Comunidad Foral de","País Vasco","Rioja, La"
"X2019M01","117.378","105.053","106.938","107.392","111.724","103.681","105.412","106.379","105.082"," 97.021"," 97.381","101.374","100.412"," 96.845","100.236","108.318","110.714"
"X2018M12","109.662"," 86.689","101.753"," 96.009","102.738"," 94.464"," 85.743"," 91.415"," 85.883"," 87.239"," 85.907"," 93.227"," 93.042"," 86.850"," 72.422"," 88.552"," 83.002"
"X2018M11","108.428","112.645","112.644","101.975","113.018","100.637","109.142","105.826","108.285","101.429"," 75.503","107.379","102.332"," 96.486"," 93.569","110.699","110.089"
"X2018M10","110.013","113.735","114.110","122.630","116.582","107.991","116.471","111.345","111.491","102.444","100.480","112.048","110.771"," 98.180","102.958","114.537","112.843"
"X2018M09","103.501","104.549","108.158","125.726","105.028","101.626"," 95.266"," 98.096"," 98.190"," 99.467","122.069","100.753"," 98.940"," 95.729"," 94.167","104.259"," 94.843"
"X2018M08"," 99.984"," 78.715"," 96.930","136.177","109.870"," 91.110"," 84.620"," 86.855"," 79.939"," 79.373","118.605"," 91.088"," 81.464"," 88.766"," 79.781"," 71.001"," 80.899"
"X2018M07","114.199","107.317","103.832","145.032","119.251","100.391","112.415","104.268","110.543","104.470","102.413","108.515","105.483"," 95.173"," 85.394","110.031","111.607"
"X2018M06","108.389","114.489","102.040","129.667","113.811","103.794","108.726"," 99.072","107.444","103.897"," 94.722","103.339"," 97.504"," 98.988","100.896","111.807","109.019"
"X2018M05","108.570","115.006","105.245","128.498","115.493","105.706","118.035","103.509","112.879","106.462"," 95.639","112.050"," 99.823"," 99.214","106.793","116.889","117.140"
"X2018M04"," 99.826","105.004","102.377","124.232","109.300","102.754","111.173","104.212","105.541"," 95.419"," 84.900","111.674"," 99.643"," 85.731"," 93.138","103.028","107.344"
"X2018M03","103.698","109.623","102.784","118.880","112.433","109.043","117.702","103.294","108.739","101.908","102.332","110.203","111.556"," 89.636"," 98.488","108.280","116.944"
"X2018M02","103.017","104.883","100.695","115.726","100.854","102.961","106.710"," 93.901","103.470"," 96.161"," 95.490","104.407"," 97.593"," 88.381"," 95.793","103.685","114.426"
"X2018M01","115.343","103.743","104.796","111.794","108.306","103.824","101.664","100.629","104.840"," 95.992"," 99.594","104.120"," 93.877"," 92.756"," 92.999","105.078","115.113"
"X2017M12","113.725"," 88.642","104.253","116.867","112.662"," 87.585"," 95.402"," 95.009"," 93.512"," 87.493"," 90.982"," 94.448"," 90.532"," 92.513"," 81.680"," 91.595","101.534"
"X2017M11","120.036","114.298","115.451","116.186","121.970","102.664","114.565","103.401","114.002"," 98.341"," 99.524","106.182"," 99.039","108.298"," 94.840","116.991","127.229"
"X2017M10","114.096","106.469","109.738","120.990","118.917"," 99.843","111.162","106.511","108.581"," 95.530","100.261","105.358"," 97.475","109.940","100.186","112.385","124.056"
"X2017M09","112.307","107.431","101.057","119.624","105.970"," 98.071","105.252","100.725","103.768"," 99.872","109.571","100.363"," 97.663"," 92.004"," 96.646","111.268","106.713"
"X2017M08","101.673"," 81.945"," 90.074","135.699","109.254"," 87.541"," 75.518"," 90.089"," 79.898"," 77.416","118.681"," 90.751"," 79.285"," 86.495"," 73.868"," 73.617"," 86.626"
"X2017M07","115.472","109.629","100.505","141.752","115.759"," 90.244","102.560","104.078","106.505","101.786"," 84.588","104.656"," 99.013"," 99.509"," 79.107","104.738","114.435"
"X2017M06","116.013","113.411","105.946","142.907","108.628"," 98.411","111.544","104.114","106.702","108.160"," 93.299","107.011","105.512"," 96.530","103.191","109.044","115.032"
