Fecha,Carbón,Motores diésel,Turbina de gas,Ciclo combinado,Eólica,Solar fotovoltaica,Otras renovables,Cogeneración,Residuos no renovables,Residuos renovables,Generación total
04-2017,189508.45,72688.244,14186.651,37314.464,238.206,12625.004,198.49,1998.957,14685.7725,14685.7725,358130.01100000006
05-2017,224056.827,89180.728,29491.836,26062.644,127.304,13622.494,223.85,2017.168,11209.7905,11209.7905,407202.43200000003
06-2017,268948.2,98311.834,39728.294,12581.072,130.101,13314.391,164.332,2776.925,14046.6855,14046.6855,464048.52
07-2017,273077.908,109786.349,59674.911,35234.932,175.738,13296.241,75.532,3059.204,14055.7905,14055.7905,522492.396
08-2017,263831.972,92555.014,82505.828,56051.79,171.687,12456.52,73.259,3488.091,14325.673,14325.673,539785.507
09-2017,237417.127,44498.153,82010.566,12832.513,182.989,10365.357,87.362,3215.986,15026.625,15026.625,420663.303
10-2017,196316.934,28513.249,75211.866,40379.856,194.571,9718.946,106.123,3349.613,13982.9895,13982.9895,381757.1370000001
11-2017,152281.554,24992.987,62358.717,60508.706,342.941,7258.256,126.985,3098.652,11279.2275,11279.2275,333527.2529999999
12-2017,204110.712,32782.641,65103.538,35553.646,382.324,5556.832,136.794,3600.165,9981.9965,9981.9965,367190.645
01-2018,198555.029,35080.182,59852.256,31200.264,252.64,7044.5,219.363,3182.987,7481.4245,7481.4245,350350.0700000001
02-2018,192794.934,38969.616,59882.575,48135.34,324.012,5338.09,166.24,3083.654,4455.9545,4455.9545,357606.36999999994
03-2018,199821.57,35928.452,61051.561,39439.262,405.924,10207.919,184.165,2294.685,11199.8515,11199.8515,371733.2409999999
04-2018,183056.221,37207.235,57191.896,48047.037,282.65,11477.546,130.801,1982.166,10486.7385,10486.7385,360349.029
05-2018,187115.884,51538.112,66096.778,45724.514,228.893,11852.795,127.68,2578.575,10524.592,10524.592,386312.415
06-2018,207644.055,60830.056,77051.413,36753.745,138.682,12390.93,110.028,3357.242,14709.1545,14709.1545,427694.45999999996
07-2018,242068.479,86045.093,95847.726,53754.595,139.329,13412.572,57.737,3565.564,14429.119,14429.119,523749.333
08-2018,257313.11,94721.89,91166.569,62510.635,192.208,11599.54,56.852,3515.458,14961.3625,14961.3625,550998.9870000001
09-2018,250630.395,74345.322,75102.128,31103.935,198.176,9309.264,19.17,2436.55,13453.5695,13453.5695,470052.0789999999
10-2018,186964.578,58059.521,54458.813,45569.164,620.313,8049.904,60.415,2571.509,13897.6735,13897.6735,384149.56399999995
11-2018,108227.965,42036.839,47932.189,109560.933,555.396,6032.656,68.766,3145.667,7033.376,7033.376,331627.16300000006
12-2018,181578.711,32932.13,19365.111,38723.094,418.948,6767.824,131.378,3260.389,13124.9285,13124.9285,309427.44200000004
01-2019,217725.286,35212.248,22524.488,34412.136,805.427,7290.851,107.643,3341.547,9560.5395,9560.5395,340540.7050000001
02-2019,164402.371,26576.927,22600.86,55402.149,499.329,9353.207,82.346,3483.536,6860.0295,6860.0295,296120.78400000004
03-2019,141747.391,16635.785,34548.491,83928.335,702.388,11382.342,111.343,3267.457,11083.6625,11083.6625,314490.85699999996
04-2019,127063.555,30202.653,30171.47,93323.053,639.471,10659.026,89.932,2915.318,13456.3305,13456.3305,321977.13899999997
05-2019,122296.505,38390.11,27505.562,103560.644,653.721,12928.163,54.2,2285.751,13087.209,13087.209,333849.07399999996
06-2019,98710.671,51238.82,38491.147,148873.866,349.853,13313.484,125.517,2300.35,13341.946,13341.946,380087.6
