Fecha,Motores diésel,Turbina de gas,Solar fotovoltaica,Residuos no renovables,Residuos renovables,Generación total
05-2021,15223.852,1.674,6.145,561.999,561.999,16356.496
06-2021,15615.423,1.328,7.292,488.819,488.819,16601.305
07-2021,19113.096,1.354,7.16,373.528,373.528,19875.327999999998
08-2021,19368.097,1.084,6.727,479.6425,479.6425,20335.852000000003
09-2021,17261.555,15.176,6.098,463.6515,463.6515,18196.105000000003
10-2021,15435.549,1.743,6.029,513.672,513.672,16468.922000000002
11-2021,14796.889,1.149,2.005,480.1965,480.1965,15759.967999999999
12-2021,15731.068,0.681,3.66,536.5155,536.5155,16807.759
01-2022,16001.846,0.504,4.82,519.013,519.013,17045.196
02-2022,13723.647,2.135,4.593,582.5015,582.5015,14895.378000000002
03-2022,14913.656,2.671,5.27,427.677,427.677,15776.951000000001
04-2022,14016.289,52.718,7.189,271.422,271.422,14619.040000000003
05-2022,14310.451,19.233,7.957,637.3565,637.3565,15612.354
06-2022,15136.043,10.843,7.907,543.2055,543.2055,16241.204
07-2022,18039.914,3.687,8.034,539.713,539.713,19131.061
08-2022,19520.343,3.051,7.295,509.639,509.639,20549.966999999997
09-2022,16331.128,1.374,6.248,471.3995,471.3995,17281.549
10-2022,14435.431,1.56,5.156,468.255,468.255,15378.657
11-2022,13942.145,1.706,4.579,387.432,387.432,14723.294000000002
12-2022,14202.365,0.41,3.17,489.7135,489.7135,15185.372
01-2023,15322.925,3.482,4.343,463.763,463.763,16258.276000000002
02-2023,14004.586,2.053,4.287,444.8725,444.8725,14900.670999999998
03-2023,14303.125,2.107,7.613,443.901,443.901,15200.646999999999
04-2023,13403.493,1.666,7.928,524.1285,524.1285,14461.344000000001
05-2023,14581.069,1.875,7.618,456.793,456.793,15504.148
06-2023,15696.53,13.524,7.99,464.4495,464.4495,16646.943
07-2023,21083.268,9.346,8.136,423.594,423.594,21947.938000000002
08-2023,20730.427,2.864,7.809,526.1025,526.1025,21793.305000000004
09-2023,16338.537,2.092,6.645,431.379,431.379,17210.032000000003
10-2023,16257.333,2.139,5.625,280.0035,280.0035,16825.104
11-2023,14599.58,1.047,5.0,304.342,304.342,15214.311000000002
12-2023,14765.349,1.941,3.533,650.4465,650.4465,16071.716
