Fecha,Hidráulica,Ciclo combinado,Eólica,Solar fotovoltaica,Otras renovables,Cogeneración,Residuos no renovables,Residuos renovables,Generación total
11-2022,14981.843,429456.707,36591.122,2191.249,4536.047,92292.746,27354.4875,23776.0405,631180.2420000001
12-2022,17997.562,356867.8,32651.391,1662.277,5001.858,52210.315,34106.0325,25555.3825,526052.6179999999
01-2023,29778.049,198053.563,20814.026,1802.334,2071.787,38218.928,39006.9945,25873.2395,355618.9210000001
02-2023,28490.489,146839.749,24482.076,3563.215,1223.703,134269.703,42149.8425,28156.9945,409175.7720000001
03-2023,25594.745,164141.375,25028.286,4716.921,1126.637,124611.894,42536.3535,27788.7125,415544.924
04-2023,18510.6,206401.333,14981.702,6442.627,986.517,94040.359,16994.5285,9541.4055,367899.07200000004
05-2023,18077.341,206129.232,28630.876,6164.584,1022.793,111578.265,22669.936,8845.739,403118.76599999995
06-2023,18991.081,266376.078,17133.13,5767.602,883.546,125693.467,44689.649,32684.977,512219.52999999997
07-2023,14666.217,304275.724,16560.265,7382.524,945.476,99479.423,45914.4375,33262.7325,522486.799
08-2023,11342.448,258626.108,18512.412,7079.428,844.051,88807.516,44155.6015,30480.2805,459847.845
09-2023,10833.475,365347.961,22041.606,6156.288,885.788,102802.386,44275.182,29085.946,581428.632
10-2023,11094.769,231259.589,16127.828,4603.587,769.548,81069.543,43055.8955,26469.7695,414450.52900000004
11-2023,22147.577,135100.166,28402.299,2389.739,518.225,44331.652,30133.421,18869.471,281892.55
12-2023,33109.853,150471.263,36483.794,2025.445,1352.33,81810.722,43649.327,27738.817,376641.551
