Fecha,Hidráulica,Turbinación bombeo,Nuclear,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Generación total,Eólica
10-2019,7416.62,4.228,823781.88,97134.967,114759.96,25107.707,4779.238,1081872.9059999997,8888.306
11-2019,92410.186,9.397,1057799.391,63349.505,20567.529,20442.425,4633.953,1273468.8860000002,14256.5
12-2019,95889.692,3.025,1475979.202,68871.596,23489.566,1484.174,3842.389,1681353.179,11793.535
01-2020,90353.729,2.572,1498764.898,76825.802,29216.231,18707.784,3533.147,1726368.977,8964.814
02-2020,60864.594,780.89,1378308.149,123561.479,81318.692,20654.747,4266.101,1677604.814,7850.162
03-2020,44749.996,2436.143,1451709.091,146070.506,98693.205,23492.524,4074.879,1786185.511,14959.167
04-2020,67563.233,5479.912,890181.32,149785.591,78392.442,22458.668,1664.203,1223168.048,7642.679
05-2020,77545.154,1835.324,604045.933,238551.294,223575.263,24454.822,4564.843,1183024.687,8452.054
06-2020,159563.077,399.856,721841.079,294616.152,290880.773,18095.233,5517.452,1498897.9170000001,7984.295
07-2020,228071.039,19.583,1450204.42,311051.707,333760.534,24313.115,5031.686,2359645.782,7193.698
08-2020,177582.114,0.029,1436399.933,320601.082,301869.388,24692.818,5952.535,2275638.371,8540.472
09-2020,108363.01,765.92,1411463.312,247783.772,177447.823,23989.195,5762.294,1984876.5999999999,9301.274
10-2020,74508.786,174.657,1481828.483,229362.496,116974.163,23893.608,4511.215,1942865.6700000002,11612.262
11-2020,195736.08,5291.889,1439011.535,135168.009,24972.566,14467.927,4276.999,1831357.33,12432.325
12-2020,185891.969,4942.93,1498969.767,116642.502,19370.897,22120.753,5541.887,1865199.9500000004,11719.245
01-2021,289223.834,7668.486,1474133.61,156722.305,28798.59,20634.114,5735.043,1993463.8820000002,10547.9
02-2021,192870.831,7718.331,1335620.056,206967.117,46361.373,18521.234,3936.15,1823491.7179999999,11496.626
03-2021,309890.547,2667.397,1052314.328,391489.913,146539.648,24875.97,5784.219,1947592.0369999998,14030.015
04-2021,433854.241,1475.048,800021.828,373186.509,104018.791,16424.247,4660.878,1743274.259,9632.717
05-2021,268819.16,2009.765,1455922.132,541538.905,255785.574,24653.727,4838.186,2563194.697,9627.248
06-2021,224574.493,302.164,1413969.012,522208.928,259402.748,22864.02,5162.105,2456231.4990000003,7748.029
07-2021,285640.415,358.915,1410869.707,632236.957,341308.009,25288.612,5745.35,2710208.4380000005,8760.473
08-2021,45344.951,194.003,1448173.108,616761.11,288415.742,24409.182,7726.982,2437014.4499999997,5989.372
09-2021,12898.343,813.038,1411261.274,484801.652,173140.749,24061.824,5734.442,2120280.178,7568.856
10-2021,11603.621,1051.147,1470156.0,442135.913,131223.949,24574.312,6086.725,2095213.6989999998,8382.032
11-2021,51522.777,5.358,1189784.814,332474.741,62277.799,21374.264,6143.291,1675396.183,11813.139
12-2021,56232.97,2876.445,745181.908,238224.95,29775.827,24603.288,6001.314,1121965.7240000002,19069.022
01-2022,109300.288,3121.775,1254910.063,395304.612,59996.861,25477.992,5604.275,1868800.6190000002,15084.753
02-2022,103628.666,1248.349,1347254.691,434958.952,79508.611,22967.629,5042.105,2003469.047,8860.044
03-2022,151387.803,5714.757,1489347.091,409925.605,52796.803,25166.681,6271.242,2156633.481,16023.499
04-2022,91933.875,4449.088,1437303.956,688063.698,170463.307,23159.688,2121.007,2427576.2700000005,10081.651
05-2022,168459.934,2076.381,1467109.987,861246.944,241714.85,16177.17,4305.286,2769366.2929999996,8275.741
06-2022,65902.062,1360.175,1407630.501,767884.889,173467.397,16670.051,4273.378,2445281.7889999994,8093.336
07-2022,52701.401,62.046,1442070.41,801419.755,250895.651,23669.723,3634.972,2582315.088,7861.13
08-2022,53154.176,0.029,1437823.136,804428.986,270243.19,22774.607,64.764,2596343.2129999995,7854.325
09-2022,30581.049,178.78,1276216.145,646971.335,166299.305,21381.091,1411.732,2150243.5149999997,7204.078
10-2022,15099.255,1060.616,735613.713,504892.776,65432.95,21721.933,3105.789,1358162.638,11235.606
11-2022,43230.329,1767.059,1281266.576,372887.748,37685.494,20915.035,3014.428,1771607.989,10841.32
12-2022,356625.273,5636.505,1419298.625,266376.043,17158.906,18776.523,2547.16,2097583.107,11164.072
01-2023,381357.609,5715.189,1428029.637,443737.979,40496.18,17488.592,2903.102,2329617.2980000004,9889.01
02-2023,275224.359,2114.821,1353071.437,619316.503,79341.144,22320.296,4332.116,2370071.3319999995,14350.656
03-2023,120899.119,2217.422,1481520.724,792626.265,148114.563,19151.074,4620.868,2577638.221,8488.186
04-2023,108632.365,977.707,1074042.841,1015717.721,262799.787,12969.687,3637.378,2487452.145,8674.659
05-2023,75908.788,3163.202,918222.589,1032609.255,204929.652,22936.442,4600.427,2271727.264,9356.909
06-2023,187658.913,3165.103,1411352.958,936765.01,207433.847,19980.716,4427.544,2777391.2790000006,6607.188
07-2023,182211.827,976.151,1454028.968,1018194.783,308980.222,16051.377,2904.596,2989428.8,6080.876
08-2023,76625.872,469.519,1441337.019,1093250.482,277732.036,20001.928,1801.939,2919695.144,8476.349
09-2023,60054.357,2428.05,1408453.377,804311.472,150974.861,18603.573,3429.508,2455288.903,7033.705
10-2023,89536.919,4963.794,1429239.63,569674.787,75061.533,13243.982,3367.543,2195780.8039999995,10692.616
11-2023,183887.308,4273.393,1351055.771,418587.43,32894.216,11319.97,2093.025,2012884.4579999999,8773.345
12-2023,358413.195,2962.32,1494550.763,422460.469,27088.245,17998.565,3067.283,2334137.4439999997,7596.604
