Fecha,Hidráulica,Turbinación bombeo,Carbón,Ciclo combinado,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Generación total,Residuos no renovables
06-2018,104916.761,2844.026,847367.973,471997.585,425326.973,152990.993,249623.213,111075.986,443873.903,2810017.413,0.0
07-2018,106302.891,518.792,1083065.725,666491.99,301269.085,172846.858,371980.688,131467.242,455882.711,3289825.9820000003,0.0
08-2018,92532.016,781.457,1037322.568,728241.695,569209.673,155979.51,289364.192,120156.928,447454.177,3441042.2159999995,0.0
09-2018,64757.377,1054.824,1067542.025,409164.82,483179.166,131365.732,188296.443,120090.695,419947.125,2885398.2069999995,0.0
10-2018,38117.633,6564.066,972914.366,634901.305,496612.712,107629.379,125619.901,99225.961,419382.505,2900967.828,26917.856
11-2018,26812.056,4348.315,1038129.279,758950.724,487565.706,76631.236,39587.658,108196.704,418417.45,2958639.128,22764.937
12-2018,26679.896,531.037,874826.949,688338.043,415120.471,96404.443,65572.695,110492.27,455893.946,2733859.7499999995,23892.562
01-2019,25288.605,3005.384,808964.433,686208.66,547209.843,100175.137,74526.679,109551.171,474456.626,2831370.143,0.0
02-2019,33933.35,3429.416,844306.822,731907.434,714535.96,119956.735,125159.24,108900.817,418160.957,3103729.709,0.0
03-2019,35913.0,4589.045,207938.552,655722.345,705153.705,147364.111,194932.656,128090.7,451099.584,2530803.698,0.0
04-2019,44050.848,6842.5,270194.355,815388.222,607656.868,132367.448,170591.365,110916.655,440972.523,2598980.784,0.0
05-2019,88535.452,9036.999,37422.429,1134832.154,612356.002,172457.989,330398.724,88799.932,406666.254,2880505.935,0.0
06-2019,92464.391,2124.575,118040.662,1396338.452,454884.57,166634.356,341081.315,112798.42,414024.129,3098390.87,0.0
07-2019,91236.63,1718.333,175352.098,1727214.771,456346.421,175669.523,296144.8,131368.872,451170.739,3506222.187,0.0
08-2019,80161.437,3211.779,67901.695,1722191.905,495339.705,182499.378,311366.833,134792.315,443037.235,3440502.282,0.0
09-2019,40095.141,9343.653,30560.818,1431713.544,375841.662,169840.831,183963.277,119347.819,418563.84,2779270.585,1983.605
10-2019,21984.146,8287.023,151537.526,1544772.743,430931.821,174440.057,138110.375,128713.653,439418.425,3038195.769,3438.978
11-2019,21611.63,18560.192,103821.242,705804.395,764217.456,101305.46,35561.83,124763.861,411230.643,2286898.259,21.55
12-2019,33252.448,37174.82,58528.566,389226.13,684672.055,120605.521,38142.147,130950.924,427304.22,1919858.099,1.268
01-2020,43652.072,12735.544,84218.916,671794.101,353679.441,150462.326,44447.639,150126.992,400241.605,1911359.794,0.0
02-2020,31195.375,20488.043,79127.73,650514.743,472449.362,227757.467,109593.565,136580.669,367185.374,2094892.328,0.0
03-2020,28665.354,23081.107,33235.732,323502.302,626781.016,246833.378,99433.922,124708.288,414793.527,1921034.626,0.0
04-2020,36060.911,30022.357,-5573.733,290958.418,660929.653,256283.305,91116.204,136430.864,410277.778,1906505.757,0.0
05-2020,53778.995,21694.512,-5645.144,323196.612,640374.893,370455.063,240553.942,134499.227,412654.874,2191562.974,0.0
06-2020,80407.323,16504.439,18076.663,640687.163,490236.942,409526.94,305847.748,121669.568,418473.735,2501430.5209999997,0.0
