Fecha,Hidráulica,Turbinación bombeo,Eólica,Solar fotovoltaica,Otras renovables,Cogeneración,Generación total,Residuos no renovables,Residuos renovables
02-2015,43038.472,39385.299,3788.486,76.127,7017.867,54530.362,147836.613,0.0,0.0
03-2015,57502.27,53373.219,5547.978,155.414,7805.623,48115.333,179390.13199999998,3445.1475,3445.1475
04-2015,44870.911,51903.342,7064.598,227.987,7117.571,57216.15,175118.258,3358.8495,3358.8495
05-2015,30136.287,46795.099,8008.621,233.599,7415.485,52977.747,152509.461,3471.3115,3471.3115
06-2015,12855.89,31898.201,2631.018,247.708,7141.288,73704.064,134768.043,3144.937,3144.937
07-2015,9980.311,14528.859,2258.202,240.337,7452.047,75893.381,117086.182,3366.5225,3366.5225
08-2015,6323.838,30279.341,5241.213,243.499,7397.899,73909.084,130122.51800000001,3363.822,3363.822
09-2015,3542.216,37477.62,2584.363,188.536,7152.752,74336.028,131833.271,3275.878,3275.878
10-2015,12788.635,42404.29,8689.279,154.516,7436.248,59075.94,137354.413,3402.7525,3402.7525
11-2015,15100.055,37772.022,7367.862,110.124,7134.239,29410.815,103190.70499999999,3147.794,3147.794
12-2015,18712.81,41308.301,12620.636,98.369,6872.374,44871.341,130814.04200000002,3165.1055,3165.1055
01-2016,20134.369,54625.46,9279.857,81.027,4489.022,47757.572,142762.12999999998,3197.4115,3197.4115
02-2016,28446.535,48184.139,5874.1,109.951,5117.249,64556.967,155546.826,1628.9425,1628.9425
03-2016,50177.277,42077.51,6916.217,144.863,7391.395,56208.829,169801.14500000002,3442.527,3442.527
04-2016,46377.82,46483.59,9894.369,206.76,7175.317,56069.221,172911.36599999998,3352.1445,3352.1445
05-2016,31065.752,42233.601,7184.21,260.078,6894.051,53411.669,147920.55500000002,3435.597,3435.597
06-2016,19481.568,27537.0,2766.553,243.875,6998.899,67003.652,130797.421,3382.937,3382.937
07-2016,16610.78,22387.21,2052.173,230.722,5899.354,71958.905,126177.576,3519.216,3519.216
08-2016,6438.245,25955.73,2710.236,251.436,6637.073,65945.864,114924.00700000001,3492.7115,3492.7115
09-2016,7129.132,19981.11,4153.21,191.958,6967.59,68216.364,113461.544,3411.09,3411.09
10-2016,7355.561,27542.92,4818.75,169.301,7237.144,98204.539,152392.02599999998,3531.9055,3531.9055
11-2016,11394.404,33459.49,8755.933,95.637,4443.593,99638.863,164076.372,3144.226,3144.226
12-2016,10433.072,37596.908,6097.201,109.654,7322.35,82337.433,151003.642,3553.512,3553.512
01-2017,17878.633,36863.891,7822.318,103.405,7349.406,99348.111,175796.88,3215.558,3215.558
02-2017,25229.059,40153.12,7112.825,113.716,4609.574,96060.05,174391.489,556.5725,556.5725
03-2017,19672.0,46442.709,8473.928,167.232,7318.16,105718.1,193046.76,2627.3155,2627.3155
04-2017,12882.817,41960.2,3179.508,241.126,7201.663,100453.899,172804.29200000002,3442.5395,3442.5395
05-2017,12527.772,33433.05,5754.835,241.178,7343.75,85295.948,151292.48599999998,3347.9765,3347.9765
