Fecha,Hidráulica,Turbinación bombeo,Nuclear,Fuel + Gas,Ciclo combinado,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Residuos no renovables,Residuos renovables,Generación total
10-2015,236384.948,16086.239,2163393.627,0.0,471577.617,173925.483,28487.976,5897.621,15366.363,417373.625,10993.0695,10993.0695,3550479.638
11-2015,241613.865,21789.598,1462183.01,0.0,599810.419,226357.416,22672.709,4276.883,13542.105,395292.195,11741.762,11741.762,3011021.724
12-2015,233178.276,24712.575,1855159.687,0.0,705087.311,66544.282,15930.055,1926.93,13363.532,414749.183,12655.552,12655.552,3355962.9350000005
01-2016,240742.787,33807.4,2260528.143,0.0,542737.539,288811.455,19332.045,3651.407,13477.744,398619.932,11915.411,11915.411,3825539.2739999997
02-2016,271960.803,40108.769,1801311.345,0.0,472619.087,329986.312,27266.214,1354.593,11253.45,369097.48,10172.277,10172.277,3345302.6069999994
03-2016,377973.558,30493.735,2224388.97,0.0,407996.634,340022.355,36867.002,2932.51,11949.023,397562.436,9444.274,9444.274,3849074.7710000006
04-2016,471412.261,33398.33,2161537.546,0.0,404730.889,242863.156,40329.892,5579.36,11276.334,362133.235,4923.717,4923.717,3743108.437
05-2016,654293.812,23848.71,1515849.374,0.0,480227.335,295098.847,45448.908,8223.579,13880.798,348260.651,10217.503,10217.503,3405567.02
06-2016,488691.203,6907.435,1935202.672,0.0,530074.394,208061.905,48280.484,9312.685,16644.852,369182.672,13149.587,12637.07,3638144.959
07-2016,326763.879,6188.116,2198399.274,0.0,557191.402,197855.131,50598.524,10739.518,14849.522,417071.984,13441.113,13039.276,3806137.7390000005
08-2016,264075.155,4590.589,2197420.177,0.0,510979.037,159415.606,46464.845,10096.152,12784.759,383869.681,12572.794,12413.445,3614682.24
09-2016,204798.51,4086.882,2136342.032,0.0,535883.983,163168.579,37895.061,7360.745,15486.053,384563.988,12424.973,12008.509,3514019.3150000004
10-2016,157408.573,8903.275,2111495.59,0.0,864335.863,104706.007,24802.3,6481.341,18094.787,422875.773,12969.9875,12639.2885,3744712.7849999997
11-2016,219798.607,19923.41,1424950.536,0.0,805228.122,221529.448,20485.053,3315.307,17615.255,421794.932,12915.4195,12670.5255,3180226.6149999993
12-2016,261055.415,11553.397,1748087.982,0.0,824889.484,132418.819,15828.428,1272.23,16713.661,414158.42,12311.826,11962.622,3450252.284
01-2017,254323.473,15297.05,2254940.523,0.0,652443.5,297735.172,19987.989,6716.683,19754.85,447559.94,12462.8685,12355.8325,3993577.8810000005
02-2017,302696.275,15658.11,2048896.429,0.0,415653.322,231512.794,22714.911,6497.644,16936.055,389601.338,11606.183,11451.37,3473224.431000001
03-2017,443939.344,16056.522,2269692.115,0.0,468795.008,207613.502,38070.897,6883.499,18472.329,429843.132,11052.0295,10936.3555,3921354.7329999995
04-2017,454565.571,9782.032,2136286.868,0.0,408858.215,186958.664,44661.091,2879.767,16143.594,415103.404,11502.0235,11047.5685,3697788.798
05-2017,540087.781,7024.96,1769069.811,0.0,470398.04,221781.185,48262.63,10174.122,17343.621,425253.65,6219.237,5917.973,3521533.0100000002
06-2017,431167.398,2984.532,1508643.088,0.0,794948.841,195206.479,46442.188,9165.215,16537.281,421478.308,12971.6145,12849.9825,3452394.927
07-2017,294266.028,3325.611,2195830.168,0.0,784671.627,238300.534,46684.588,10678.555,14192.137,428104.141,12588.2835,12552.7565,4041194.429
08-2017,266007.654,2090.433,2190028.612,0.0,754994.873,203504.973,41628.399,9419.418,10687.996,407238.177,13017.1565,12865.4625,3911483.154
09-2017,230861.34,4719.311,2129959.767,0.0,621062.027,187790.563,35634.536,6974.969,12000.878,403550.373,12955.323,12741.18,3658250.2670000005
10-2017,177421.989,4917.642,2070537.311,0.0,823516.263,183361.826,33054.108,8305.011,15124.019,429536.167,13094.477,12639.514,3771508.3269999996
11-2017,139349.353,9924.066,1455435.635,0.0,1008956.956,293565.749,26052.645,5365.172,13818.337,430247.55,13254.4695,12582.3055,3408552.237999999
