,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03,2023M04,2023M05,2023M06,2023M07,2023M08,2023M09,2023M10,2023M11,2023M12
Generación,3471753.887,2894586.14,2960698.214,2983136.3220000006,2410905.2600000002,2044921.196,2429376.04,2322434.8929999997,2187982.2159999995,2672686.1340000005,3091593.094999999,3362265.431,3678476.9649999994,3250201.595,2762391.5590000004,2242366.557,2143192.3910000003,2239377.814,2166554.5339999995,2240381.7310000006,2260911.88,2141744.973,3095986.0599999996,2807597.7049999996,2916152.767,3058285.9800000004,2681647.2970000007,1824142.929,2288827.2520000003,2196948.9869999997,2358274.4869999993,2071282.18,2124193.6330000004,2570787.1689999998,2299952.187,2959343.061,3552138.0479999995,3175004.9420000003,3023290.5439999998,2758017.8780000005,2041507.3790000002,2000800.6369999999,2322835.5489999996,2043235.503,2177904.214,2488323.101,2356605.763,2363734.516,2620525.6479999996,2382519.245999999,2252968.163,1667854.1860000002,1881157.8380000002,2264209.502,2297335.8379999995,1870537.5359999998,2001172.1099999996,2171430.6819999996,2209032.645,2582347.091000001,2823279.887,2858672.991,3258610.4869999993,2680237.9149999996,2209916.694,1825078.0540000002,2212779.9060000004,2103948.772,2390494.7980000004,2665595.6440000003,3011588.873,3275064.223,2946562.6599999997,2417323.6860000007,2137632.5439999998,2004764.6590000002,1707670.8690000002,1186658.432,1478771.1709999999,1307031.5579999997,1753060.6370000003,1785389.7980000002,2962070.3960000006,3168876.9809999997,2970486.1059999997,2516921.8929999997,2528140.9529999997,1706443.986,1872369.1439999996,1398924.8979999998,1579550.7910000002,1355332.5869999998,1524972.071,1905430.398,2205737.203,2991431.615,3054838.5799999996,3201173.6760000004,2446690.782,1913110.604,1799642.807,1638974.5770000003,1587208.1190000004,1441372.906,1339960.9300000002,1549188.5210000002,1687772.298,2552345.0330000003,2079343.7750000001,1646614.0469999998,1904308.014,1647334.974,1598773.56,1425389.441,1535060.569,1554880.811,1436714.497,2105459.194,2494426.3469999996,2985007.389999999,3230075.7329999995,2075598.669,2379817.169,1592971.9549999996,1733415.1220000002,1332914.6959999998,1157450.829,1273718.1219999997,1353471.8250000002,2026949.6359999997,2874351.381,2841438.74
Demanda,1820899.1750000005,1663698.1199999996,1787324.854,1643777.5059999998,1625408.805,1509231.2559999998,1565179.787,1597169.876,1555877.638,1625265.158,1674271.7510000002,1801883.979,1822607.31,1691326.0400000007,1739452.3650000002,1583111.6179999993,1595752.0839999998,1526786.3039999998,1572340.1729999993,1554390.0199999998,1581148.4529999997,1624725.056,1672187.9209999999,1791796.8509999998,1865880.3410000005,1718823.1010000005,1745705.028,1577762.5829999999,1598331.8080000002,1547149.4110000003,1595864.5290000003,1552947.6700000004,1541750.7160000005,1626654.3569999998,1636100.259,1708525.2619999999,1776455.947999999,1710594.2669999998,1783449.47,1679120.743,1620285.8889999997,1542618.3909999998,1564340.5920000002,1605756.6790000002,1584187.6109999996,1623247.1739999996,1705647.3930000002,1761950.5579999997,1865725.421,1624277.3219999997,1724170.6919999998,1560185.097,1620405.3900000001,1590862.407,1595519.3570000008,1612907.2750000001,1571677.4669999997,1642836.9859999996,1710213.278,1775637.781000001,1844479.5439999995,1717220.668,1873335.316,1695932.397,1645678.9559999998,1596787.8690000002,1607005.1120000002,1617145.4809999997,1580536.9189999993,1637148.8290000004,1723854.0679999993,1720942.191,1831829.7179999996,1563729.7199999997,1570501.3030000003,1498887.1019999997,1455568.887,1403979.9360000002,1459713.9490000003,1458252.716,1437838.6219999997,1518709.899,1611162.9350000003,1639128.2359999998,1697792.9049999998,1475967.3060000003,1493138.3510000003,1268982.914,1327958.6649999996,1438593.814,1380397.9139999996,1390800.24,1375753.2840000002,1471636.3890000002,1491474.9680000003,1600592.9940000004,1694495.5929999996,1484968.544,1564011.2960000008,1426069.727,1454054.616,1365134.1099999999,1369843.9400000002,1377124.2990000003,1381155.204,1418232.5659999996,1493168.54,1521980.4009999998,1386507.81,1194675.8190000001,1222744.872,1187067.1480000003,1170291.344,1137849.5690000001,1097227.462,1038750.7229999998,1029103.9910000002,1039722.1500000003,1087367.5469999998,1170300.268,1233543.7829999998,1126099.3999999997,1165707.2420000003,1021624.319,1039359.2939999998,1016782.7869999998,998044.9039999997,997390.7439999998,1014861.957,1072993.0580000002,1083036.762,1196348.6459999997
