,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03,2023M04,2023M05,2023M06,2023M07,2023M08,2023M09,2023M10,2023M11,2023M12
Generación,1274146.3490000002,1191586.9959999998,969205.272,726050.4159999999,873778.586,889674.4089999999,1302601.9300000002,1065453.2219999998,1236079.5380000002,1436408.4239999999,1074397.1379999998,1569020.2310000001,1085389.1919999998,780436.9100000001,806653.068,719922.1869999998,851374.864,1353631.715,1371012.1520000002,1207093.923,1289753.4109999998,1295323.6339999998,1140684.7210000001,1300008.8109999998,1602357.978,1357322.615,1356141.8560000001,1053333.3460000001,1052410.284,1330958.3390000002,1619157.1479999998,1409767.063,1364796.374,1514516.7929999998,1538019.1959999995,1611271.012,1178833.11,1063280.0370000002,1169066.833,733732.0530000001,551923.985,736173.356,1049359.4919999999,991566.439,1103691.526,766899.791,1237535.439,1530867.2629999998,1624434.9109999998,1310456.7480000001,894432.9810000001,728164.818,1208757.837,1258907.962,1158853.8080000002,795384.587,999511.944,1106670.712,1511095.426,1489008.2510000002,1236071.773,1150355.7969999998,1022427.254,921028.848,905926.2050000001,880419.646,954034.2799999999,1129949.46,1184941.4009999998,1008705.238,1310009.8530000001,1100039.467,1266246.2889999999,866005.3729999999,732226.2179999999,651647.6039999999,629725.394,688669.4,705666.942,744431.1730000001,786124.5859999999,891604.281,1118575.3139999998,1038523.819,1038661.503,957147.4419999999,766290.294,602879.557,626785.553,685366.7019999999,656251.776,785267.126,733809.575,779461.5009999999,757097.5480000002,953376.2280000001,1024317.7620000001,811618.6460000001,772486.5899999999,834378.332,716205.728,783604.702,759241.9550000001,804195.311,1074004.24,1020886.9940000001,1227860.956,1454803.4219999998,1271410.3860000002,949225.229,1116655.849,908406.693,761872.0490000001,974145.9229999998,1242291.333,1255364.3869999999,1000317.6470000001,1026582.913,921875.609,971246.7670000002,918565.0479999998,907722.0410000001,836666.749,591778.4469999999,599976.065,686822.993,629251.484,654924.531,690232.6979999999,785713.082,798789.289,755513.73
Demanda,916680.371,867681.176,926356.599,871409.11,868805.573,812008.2679999998,861619.193,812652.8140000001,825805.3470000002,861454.1430000003,869263.7609999999,920315.5550000002,926940.9809999996,865903.6930000002,908935.253,845622.2339999999,851279.9419999999,809896.2160000002,841181.194,822068.3569999998,825378.2889999995,857117.598,866886.1809999999,904378.0340000002,956258.03,890800.0570000003,929543.143,856934.8260000001,863399.4539999999,822456.29,878110.7759999998,832511.7829999999,819975.7339999997,872877.6449999999,864287.2559999996,900378.7260000003,917147.058,892362.901,948577.8020000004,888067.3760000002,880476.311,824537.6980000001,875652.4639999999,844856.2339999999,844099.4270000001,843168.0519999999,850111.4340000002,914567.0609999998,954740.0849999998,850071.0150000001,920243.849,844465.5149999999,874123.6129999997,844501.0330000003,876020.3460000004,858048.9479999999,841465.2660000001,880129.2270000001,902610.457,952302.3320000002,950230.8769999997,883557.655,953924.5610000002,878451.2789999999,870108.9269999999,836118.8559999999,865999.6299999998,855891.1230000001,847528.7289999998,873135.6159999998,894410.4950000002,920538.945,955695.7469999999,800857.082,819770.8199999997,775652.082,775558.988,734051.7599999998,771577.431,751690.808,733274.8829999998,741662.9519999999,762830.4069999998,770472.528,818569.5330000002,753713.456,793322.5069999999,658828.3079999998,673587.9750000001,657386.0789999999,693685.8219999999,670393.413,686850.4539999999,760044.453,746484.147,812041.784,867913.759,754268.325,808309.756,768077.88,776093.729,729077.631,754393.956,720273.2589999998,725963.9779999999,750755.8319999999,783627.844,805235.9089999998,838347.3800000001,726763.587,764589.3469999997,745247.46,746747.263,712894.8369999999,733731.2290000002,707301.2949999999,707938.387,699296.436,707551.666,741601.9930000002,736678.2849999999,698689.63,724700.3489999998,650170.1229999999,681938.1670000001,660261.7570000001,684574.3309999999,662893.2540000001,665667.7859999998,694211.6869999998,691613.6960000002,735873.2620000001
