,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03,2023M04,2023M05,2023M06,2023M07,2023M08,2023M09,2023M10,2023M11,2023M12
Generación,518320.71699999995,482728.365,480395.12700000004,432303.934,473912.42000000004,429280.13100000005,589592.954,521868.27200000006,409751.507,539107.7289999999,476843.17500000005,490341.739,423881.667,399321.595,464397.424,417547.734,421064.29299999995,395393.155,606600.197,498086.8879999999,452106.127,415892.861,415127.959,420856.87600000005,490134.57500000007,437259.547,401993.37,413600.897,341691.463,342831.6,544063.205,350546.41,344708.149,418629.90699999995,376775.152,381114.62100000004,294501.20200000005,245388.776,293597.985,255377.005,264326.35399999993,246398.046,440913.195,339305.822,407229.6759999999,401266.29199999996,292229.13300000003,445381.58,528068.27,364072.311,417393.8770000001,382303.601,378957.704,500980.245,627965.3230000001,545204.897,479393.42999999993,907605.5560000001,701042.056,636173.346,555002.154,442422.60199999996,352735.962,353467.745,508091.17899999995,524955.802,399000.895,574468.911,579691.362,580926.788,629924.729,589985.347,616732.1869999999,484071.0900000001,495455.235,630289.185,853241.057,861848.862,1483298.4569999997,1478971.5960000004,1246826.0920000002,983451.2359999999,736953.1889999999,601346.164,715513.0480000001,557358.613,589598.274,579062.693,698903.02,1150371.324,1416061.3220000002,1180081.1979999999,1125972.119,756723.744,755062.385,749990.539,580461.586,484551.941,602558.9280000001,745470.002,775718.3960000001,759564.388,846468.186,896638.974,855561.003,627234.5310000001,1080919.836,994399.3310000002,977342.3740000001,972386.4180000001,846783.6070000001,794137.428,833696.572,1011861.7279999999,1411842.15,1406282.0999999999,1053886.366,990807.3859999999,696633.9280000001,653360.07,606860.981,686551.7400000001,763863.689,721800.8020000001,793546.9230000001,784259.3339999999,857753.389,943562.4450000001,743952.9299999999,678042.2969999999,540128.4219999999,574862.321
Demanda,729942.927,664760.521,677454.8870000001,638919.963,636011.0080000001,665661.124,767954.0059999999,750689.002,670936.9789999999,687807.444,685230.268,726305.4310000001,714366.236,658382.27,684369.061,646438.1950000001,664706.877,693939.552,787218.122,785374.0419999999,741479.7849999999,679355.192,670911.192,728687.5630000001,765484.1640000001,708018.114,712508.407,653734.33,716397.344,745173.993,914676.099,840272.7429999999,710072.189,713738.9579999999,686147.654,738362.996,738822.756,697647.352,744168.216,695106.899,708272.392,773701.0499999999,866836.049,839717.388,779435.708,729812.771,732041.0390000001,733326.986,785471.791,691174.771,743049.0760000001,705696.823,740527.18,824032.373,906583.5720000002,884293.372,763067.8399999999,752408.533,755346.188,824369.329,813698.0830000001,741390.3480000001,780145.32,736925.2170000001,761407.1939999999,789298.322,902760.658,903149.004,790124.8809999999,729111.57,726074.295,766338.571,841665.3599999999,722984.3910000001,769206.22,717397.568,753933.437,781848.1290000001,934973.7039999996,891511.5290000003,740195.5780000001,748991.0369999999,756543.6579999999,777171.494,826921.959,710409.485,748455.9720000001,630962.979,700712.0439999998,751296.944,909611.1010000003,904273.9549999998,773862.2629999999,737168.266,714052.423,796790.7269999998,833740.735,704966.713,757147.6660000001,706783.625,730774.566,757175.2039999999,905457.514,901082.855,793300.9500000001,707168.9600000001,723781.406,781601.1180000002,811561.251,722656.0869999999,729863.818,668215.268,721898.8899999999,806714.8229999999,886779.236,873168.8159999999,765406.544,691620.5769999998,668684.694,704461.299,742370.159,719438.225,728238.455,649877.7810000001,650426.957,672795.9380000001,923484.954,867839.5310000001,727326.807,716856.9049999999,711507.0009999999,762139.0859999999
