,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03,2023M04,2023M05,2023M06,2023M07,2023M08,2023M09,2023M10,2023M11,2023M12
Generación,2465214.2759999996,2401985.886,2868975.1619999995,2967059.059,2075955.965,2179220.7369999997,2638967.4570000004,2592676.84,2675267.946,2541044.342,2905216.4579999996,2882089.2519999994,3293755.0200000005,3530144.085,3190453.291,2897259.3179999995,2549166.925,2782620.5579999997,2932671.147,2488826.569,2869141.6829999997,2632049.263,2528065.1259999997,2547048.2759999996,2702682.616,2770488.053,2691985.222,2328564.901,2691682.471,2700342.2029999997,3096634.8630000004,2674027.3140000002,2295282.6739999996,2451597.957,2646709.1610000003,2398081.4289999995,3101620.6400000006,3104662.5059999996,2836834.088,3310828.912,2911781.917,1834911.0790000001,2057232.571,2284761.444,2390889.971,2779617.2270000004,2952338.7640000004,2650814.879,3321206.594,2599361.749,2136804.049,1720213.3570000003,1892607.855,2167839.191,1623544.156,1418333.447,1198065.085,1984956.7070000002,2471840.98,2801153.816,2245976.2139999997,2278881.392,3293937.4850000003,2495308.0039999997,1934818.6950000003,1779340.1279999998,1983139.3779999998,2120204.537,1950338.318,2178304.587,2546949.664,1975662.4230000002,2362814.541,1657157.5680000002,2088913.412,1745686.7859999998,1792701.0310000002,1308484.4570000002,1395063.277,1316821.253,1710098.5080000001,1441877.0219999999,2577835.0879999995,3005216.644,2904773.7660000003,2363042.9690000005,2347285.753,1812591.6009999998,1748651.1020000002,1514862.726,1713106.1199999999,1824904.937,1750163.144,2351184.517,2158881.373,2959251.6699999995,3092509.972,3333622.4960000003,2899958.353,1905083.64,1860532.8159999999,1662078.9849999999,1937760.199,2148276.212,1847454.9479999999,1867730.751,2111435.546,2359647.341,1980233.661,1526255.2010000001,2326144.006,2109319.436,1861585.8940000003,1551112.9859999998,1865432.236,1600737.398,1798091.689,1786382.54,2167328.863,2579968.178,3036056.6859999998,2069416.4079999998,2577014.8699999996,1998835.7169999997,2117249.485,1664588.913,1726802.9760000003,1645525.869,1544138.328,2323122.2770000002,2967259.0899999994,2568328.9860000005
Demanda,1261244.11,1156059.3900000006,1189623.7219999998,1078989.956,1079737.788,1035931.972,1187613.4929999998,1117610.0790000006,1059889.9440000004,1086987.9850000008,1159967.649,1229338.2390000003,1240207.3950000005,1155201.0449999995,1175585.0550000002,1049565.057,1088333.92,1078433.1370000006,1159229.524000001,1099205.1530000002,1084281.4869999993,1079858.1840000008,1116910.0320000001,1202400.6520000002,1265447.0120000003,1183589.347,1201742.2149999999,1056678.9809999992,1096363.6150000002,1100185.9509999997,1272522.3359999997,1120544.4130000002,1066987.6650000003,1114237.166,1148084.056,1200695.9340000001,1225929.9760000003,1186063.0089999994,1231589.7170000002,1133842.352,1101075.6619999998,1116576.81,1212846.161,1164434.6979999999,1117640.3039999998,1103810.4219999993,1183219.1880000005,1213425.2639999997,1282078.4020000002,1136465.6019999995,1213111.753,1084445.9880000004,1134853.512,1185343.367,1201742.4340000001,1152799.284,1099285.06,1129375.782,1193931.662,1254119.834,1286001.566,1197806.4700000002,1285164.1649999998,1138119.7030000002,1143598.7230000002,1111234.4259999995,1212746.6640000003,1190692.626,1130028.2530000005,1160824.097,1216810.991,1213294.5,1304599.661,1139791.7130000002,1205850.1569999997,1138940.0890000002,1168948.4010000003,1142368.133,1245721.68,1164281.4860000003,1097241.152,1160622.707,1207924.7709999997,1205933.214,1289529.0979999995,1158160.6860000005,1127288.9069999997,903667.2259999998,975778.847,1031437.9359999998,1226900.23,1126916.9209999996,1084962.292,1156341.074,1143244.1809999999,1205269.286,1267533.7070000002,1100679.804,1190666.4199999997,1076771.5259999998,1107577.857,1082119.8360000001,1195913.9249999998,1139478.345,1061815.292,1074792.0449999997,1177942.8660000002,1192721.6449999998,1220895.0010000002,1118237.1770000001,1170167.9859999996,1079482.4440000001,1094950.5349999997,1109216.4560000002,1203593.6379999996,1126740.6860000002,1035023.4609999995,1032268.865,1081393.0839999998,1103692.9279999998,1188620.2499999995,1097697.698,1124683.487,1000121.416,1038905.4829999998,1009947.9700000002,1116875.3879999998,1086454.0540000002,1002409.817,1055354.918,1119161.0669999998,1157380.191
