"","Hidráulica","Turbinación bombeo","Ciclo combinado","Eólica","Solar fotovoltaica","Otras renovables","Cogeneración","Residuos no renovables","Generación total"
"56",178136.74,6492.934,402278.459,365787.736,31112.425,4704.87,243953.016,38264.374,1657232.81
"57",110557.182,1945.886,-1149.012,317888.384,28157.154,5126.674,232123.835,33089.865,1173500.818
"58",99847.259,4935.203,24508.699,340175.024,25238.753,6418.049,260089.564,36494.117,1280061.98
"59",79745.763,25336.815,67196.243,514994.99,18597.959,4841.388,262199.58,36883.878,1493011.146
"60",102474.616,10447.058,20998.753,539229.594,13197.041,3722.715,248896.413,27215.377,1383419.168
"61",215744.702,18684.217,9219.952,458149.578,15275.588,3501.161,253784.968,33441.12,1268764.615
"62",240443.561,14107.826,-1050.554,593374.923,16066.674,3620.145,257991.785,33872.259,1500498.614
"63",392250.272,22265.234,4778.72,534147.414,22248.181,4236.041,250560.595,34915.968,1287907.844
"64",524690.226,23926.518,18864.135,291007.624,25212.084,4335.759,254347.415,34523.768,1167406.592
"65",552697.674,12695.932,1553.913,371214.144,32032.953,5650.157,272732.674,24944.178,1380381.597
"66",605496.859,6749.624,-1057.865,300182.568,32395.455,5202.753,258304.902,35627.522,1472036.81
"67",361437.134,6793.401,-1112.294,262379.791,36591.857,5227.098,263089.375,37609.578,1398986.122
"68",245010.466,6421.275,6755.555,340575.542,33843.778,5095.701,237892.312,38896.679,1182324.431
"69",174775.062,10885.699,10963.834,208897.495,28643.738,5805.892,257795.447,36943.386,1218202.639
"70",164362.357,5287.813,1565.067,382032.912,20658.444,5336.947,257939.728,37076.516,1207818.302
"71",197733.579,3627.699,5531.69,270708.714,12825.135,3675.32,271167.517,35052.258,1073349.888
"72",206651.395,2472.837,3856.806,328860.161,12671.485,2022.112,253436.937,26118.008,1039967.464
"73",131495.03,4963.729,10155.896,726757.534,15605.837,4876.483,276458.883,33639.49,1543110.852
"74",221430.474,8493.028,7144.156,318790.942,23485.877,5342.305,248106.041,31693.902,1013621.866
"75",200132.786,9209.194,22851.084,473986.275,31154.675,6201.478,269135.184,35762.116,1043830.839
"76",178686.785,15682.171,33730.247,402582.527,25724.805,5764.63,262119.556,32782.669,950153.816
"77",302077.376,10290.874,66813.346,621420.445,35460.804,5861.644,270769.439,24270.919,1330609.257
"78",266470.668,3384.988,224362.319,347042.749,34797.633,5389.346,251548.611,31495.69,1162829.887
"79",199161.329,4.182,467604.496,377958.303,34472.594,4911.831,258473.381,34634.364,1515605.744
"80",156725.948,150.038,480142.088,263386.659,32966.806,3784.405,235196.554,34401.185,1251372.773
"81",103073.651,3936.353,277816.877,364672.339,28060.968,3701.729,224453.364,30778.229,1205196.218
"82",130416.331,13613.499,236515.888,359265.976,22121.294,4352.786,239876.189,34327.317,1324897.974
"83",243630.788,18027.894,235405.085,588284.062,15347.695,4260.904,252114.055,30577.891,1612750.586
"84",413610.263,21966.358,20433.472,516315.277,28925.543,3195.022,250194.327,21752.931,1397801.228
"85",287280.183,20015.774,100164.878,394171.704,38977.426,4165.463,273890.315,28758.296,1261165.007
"86",269668.184,15690.982,-1263.604,425887.595,90623.606,3995.475,244817.944,26219.356,1121353.264
"87",411437.656,18771.724,4124.433,668910.602,110752.033,4059.376,239244.223,25770.562,1473767.375
"88",420455.39,33514.428,-1137.201,438322.747,130256.844,3172.86,197455.514,22306.952,1236166.44
"89",458389.649,27713.849,74405.653,497416.938,184508.348,3625.363,188818.22,20923.311,1447462.895
"90",326459.216,19213.745,328141.547,464523.454,197867.205,3626.346,224884.72,28869.007,1611948.304
"91",257572.389,15985.6,494479.362,702703.285,216928.639,3799.593,237842.464,32701.75,1960833.704
"92",209517.142,17095.988,461951.128,668388.852,190992.433,3232.749,228243.746,31737.064,1810930.291
"93",150212.625,11815.529,418332.05,638260.961,155115.966,3521.164,242930.401,31829.741,1652018.437
"94",240267.683,10714.706,85469.812,858017.434,105574.1,3782.983,243500.257,13680.233,1561007.208
"95",202285.404,15477.369,137430.883,495030.509,46269.485,3756.11,244924.802,25891.269,1171065.831
"96",233144.363,25125.148,124364.446,1062711.647,41018.534,2701.784,238727.954,16752.651,1744546.527
"97",227814.858,28851.855,8267.525,1308593.598,54540.025,4269.769,249188.599,29616.058,1911142.287
