"","Hidráulica","Turbinación bombeo","Carbón","Ciclo combinado","Eólica","Solar fotovoltaica","Otras renovables","Cogeneración","Residuos no renovables","Residuos renovables","Generación total"
"45",351977.39,27.16,1164405.198,19118.008,335710.844,1973.788,20862.19,250363.253,16733.1915,16733.1915,2177904.214
"46",293350.809,813.701,1210175.263,259843.691,410274.507,1580.624,21916.793,255603.719,17381.997,17381.997,2488323.101
"47",241093.17,147.679,1105046.905,129943.224,586636.453,946.83,20386.505,243578.042,14413.4775,14413.4775,2356605.763
"48",335098.262,4035.024,1044093.094,185690.785,484523.598,1069.892,21529.449,252859.038,17417.687,17417.687,2363734.516
"49",361409.733,10724.826,1278584.98,34739.585,640061.271,1028.463,22139.052,246861.802,12487.968,12487.968,2620525.648
"50",510616.747,1955.758,830906.036,12672.157,754236.695,1041.093,18369.985,223870.425,14425.175,14425.175,2382519.246
"51",550991.26,3886.96,497480.481,41324.353,872535.405,1577.439,13500.887,237357.258,17157.06,17157.06,2252968.163
"52",271858.762,648.424,465714.818,38558.946,624386.664,2455.097,18820.438,215050.457,15180.29,15180.29,1667854.186
"53",265249.952,278.6,836980.579,1898.465,471285.088,2102.474,23641.337,245598.998,17061.1725,17061.1725,1881157.838
"54",154546.131,1053.507,1162505.02,280324.2,371410.034,2276.046,22847.921,238759.106,15243.7685,15243.7685,2264209.502
"55",96241.875,2445.009,1176210.652,308781.758,406531.152,2383.384,23344.766,250578.54,15409.351,15409.351,2297335.838
"56",140151.187,0.14,810590.025,186560.006,445095.954,2432.364,21757.006,233397.176,15276.839,15276.839,1870537.536
"57",391558.525,10.682,763821.497,158475.71,392796.409,1829.346,22026.635,247826.537,11413.3845,11413.3845,2001172.11
"58",107999.236,5.292,924902.453,293076.743,541594.45,1858.643,23674.003,250213.607,14053.1275,14053.1275,2171430.682
"59",109027.444,28.168,1011677.989,263333.373,549281.008,1148.056,21982.821,222970.434,14791.676,14791.676,2209032.645
"60",303874.939,2029.916,1040310.664,130064.957,834471.935,726.322,20410.774,218528.072,15964.756,15964.756,2582347.091
"61",813977.927,5381.166,858246.073,9581.087,852292.474,676.161,21984.062,227290.679,16925.129,16925.129,2823279.887
"62",780057.489,1876.567,1097580.854,4121.164,714494.114,1084.781,20866.569,209450.034,14570.7095,14570.7095,2858672.991
"63",1445732.361,6459.509,332816.595,41592.19,1161312.856,1121.564,15967.586,222908.641,15349.5925,15349.5925,3258610.487
"64",1298332.428,2474.045,400719.066,5403.459,703529.982,1724.608,21383.179,216390.263,15140.4425,15140.4425,2680237.915
"65",604269.484,1999.137,725899.321,46671.922,578648.249,2257.423,22576.96,214947.662,6323.268,6323.268,2209916.694
"66",536831.785,55.034,677242.452,13925.457,341013.467,1967.791,23100.898,213961.59,8489.79,8489.79,1825078.054
"67",533259.987,121.997,1018907.183,23837.968,356746.055,2060.295,23570.513,223998.917,15138.4955,15138.4955,2212779.906
"68",248995.194,1127.291,965441.914,154318.676,465029.002,2507.191,22838.15,210348.646,16671.354,16671.354,2103948.772
"69",327593.657,97.049,1187367.929,108511.997,488517.067,2076.122,21756.288,222317.477,16128.606,16128.606,2390494.798
"70",366178.454,7538.843,1054748.09,126382.126,829751.76,1615.989,20798.69,226210.867,16185.4125,16185.4125,2665595.644
"71",642644.836,6102.096,1051457.99,162776.994,874688.124,729.05,23863.064,217993.228,15666.7455,15666.7455,3011588.873
"72",927933.844,3367.242,937408.438,112793.594,1015755.548,693.625,24333.844,219898.872,16439.608,16439.608,3275064.223
"73",682471.103,8865.034,956396.692,175087.11,849921.958,1002.144,22890.776,227128.678,11399.5825,11399.5825,2946562.66
"74",831425.924,5589.405,736270.499,-1343.093,587518.76,1406.551,21542.722,208129.359,13391.7795,13391.7795,2417323.686
"75",720905.331,8973.027,305500.955,5955.759,822102.355,2013.269,19169.768,221481.861,15765.1095,15765.1095,2137632.544
"76",649832.949,6887.524,206629.454,174017.474,708751.959,1792.607,17499.156,208930.967,15211.2845,15211.2845,2004764.659
"77",411861.408,5585.985,13251.33,346309.289,656796.125,2603.223,22988.851,222021.533,13126.5625,13126.5625,1707670.869
"78",196211.605,381.595,35851.331,357712.232,326500.612,2039.299,21695.717,217024.169,14620.936,14620.936,1186658.432
"79",223655.948,286.803,111579.265,387054.673,489352.054,2419.486,22801.907,212750.41,14435.3125,14435.3125,1478771.171
"80",100744.514,23.229,9984.227,503929.151,442170.629,2258.65,22584.78,195511.149,14912.6145,14912.6145,1307031.558
"81",182363.938,393.684,49762.658,396247.588,878082.577,2138.623,22713.313,196848.482,12254.887,12254.887,1753060.637
"82",336069.117,1018.629,39858.547,396159.632,761881.368,1286.176,21127.785,207522.861,10232.8415,10232.8415,1785389.798
"83",1091922.758,1505.644,-4546.746,421809.903,1190186.448,588.352,20611.33,208757.66,15617.5235,15617.5235,2962070.396
"84",1627770.822,2495.09,5521.619,292560.843,993504.519,744.803,22259.48,194109.382,14955.212,14955.211,3168876.981
"85",1309799.276,2571.737,114671.325,215286.328,1098630.429,916.054,24905.211,171828.18,15938.783,15938.783,2970486.106
"86",982090.81,2512.811,120170.567,165311.468,1019655.144,1346.88,35247.648,160145.627,15220.469,15220.469,2516921.893
"87",1106496.575,3411.216,219395.351,21119.869,911904.272,1950.177,40781.591,192020.779,15530.5615,15530.5615,2528140.953
"88",563131.345,4327.127,156755.434,136264.84,615784.069,1638.742,21904.429,179317.361,13660.3195,13660.3195,1706443.986
"89",606170.337,7.545,109385.123,181216.236,705036.597,2581.302,39100.721,199533.213,14669.035,14669.035,1872369.144
"90",391369.675,76.692,125496.031,183189.817,425126.168,2286.214,49823.483,194853.298,13351.76,13351.76,1398924.898
"91",228817.559,273.202,75252.946,211653.995,807471.314,3090.845,19519.316,205458.295,14006.6595,14006.6595,1579550.791
"92",254144.11,468.516,117734.668,211763.98,512267.317,2409.981,42882.77,184386.033,14637.606,14637.606,1355332.587
"93",404116.625,1337.274,102491.132,218013.439,563565.678,2194.621,40511.438,181280.334,5730.765,5730.765,1524972.071
"94",325871.002,2504.152,73493.87,190412.301,1039173.243,1351.703,53383.105,199301.993,9969.5145,9969.5145,1905430.398
"95",657698.322,1206.051,105999.914,201183.484,951289.905,1104.741,51002.268,205061.073,15595.7225,15595.7225,2205737.203
"96",1088201.357,2513.193,22967.423,276910.505,1342333.955,595.133,42839.07,185188.416,14941.2815,14941.2815,2991431.615
"97",1413430.997,8292.977,90275.535,262165.182,1025512.482,914.91,32446.143,194159.476,13820.439,13820.439,3054838.58
"98",1505956.673,6686.081,-3259.933,202252.9,1273594.165,1031.683,41794.285,144876.508,14120.657,14120.657,3201173.676
"99",1083248.775,3937.787,-3332.121,295572.832,848639.432,2160.924,38606.177,147323.437,15266.7695,15266.7695,2446690.782
"100",699410.082,3712.642,-3249.813,344287.981,630268.028,2147.635,55329.653,155055.944,13074.226,13074.226,1913110.604
"101",504451.519,5872.168,63177.516,249680.43,761814.463,2634.633,47971.546,151783.403,6128.5645,6128.5645,1799642.807
"102",481459.457,693.133,110921.162,215631.802,630042.156,2506.013,26578.995,148949.244,11096.3075,11096.3075,1638974.577
"103",503801.955,44.482,12506.14,379270.983,462023.114,2577.361,28074.077,166459.878,16225.0645,16225.0645,1587208.119
"104",262485.023,26.603,-3535.582,407405.957,550034.71,2635.28,55375.859,135056.999,15944.0285,15944.0285,1441372.906
"105",157684.864,34.906,-3138.97,436686.391,517556.785,1884.868,45453.137,154562.619,14618.165,14618.165,1339960.93
"106",152085.826,40.601,-3415.772,356457.233,798279.259,1674.534,57427.209,156078.749,15280.441,15280.441,1549188.521
"107",215015.87,274.828,54629.271,296508.992,871576.581,1341.015,58381.349,162328.863,13857.7645,13857.7645,1687772.298
"108",712698.558,16.402,147361.244,249008.682,1190750.238,819.778,52218.432,166625.969,16422.865,16422.865,2552345.033
"109",559644.783,1863.694,141628.512,313149.801,819249.439,1415.796,40932.725,173589.696,13934.6645,13934.6645,2079343.775
"110",324753.485,12543.763,-3885.636,359676.025,721912.959,1437.53,36191.866,163659.127,15162.464,15162.464,1646614.047
"111",458914.549,6264.513,46491.288,231804.957,891062.958,1583.936,45412.25,191062.249,15855.657,15855.657,1904308.014
"112",302618.744,11865.895,145839.598,246135.27,682784.537,2283.674,55080.737,169607.397,15559.561,15559.561,1647334.974
"113",195005.134,2412.018,186940.203,346029.555,608061.181,2586.85,56086.954,172892.534,14379.5655,14379.5655,1598773.56
"114",124510.834,3.087,135817.115,469047.185,476191.133,2304.774,58420.139,133240.353,12927.4105,12927.4105,1425389.441
"115",70532.363,2406.586,-3313.437,573492.564,725685.6,2939.539,35033.415,102044.721,13119.609,13119.609,1535060.569
"116",84986.336,8271.186,-2745.41,604822.515,720668.625,2682.426,32093.226,86409.954,8845.9765,8845.9765,1554880.811
"117",116048.53,12080.166,-2970.529,509458.341,667150.894,2026.433,22834.887,97273.488,6406.1435,6406.1435,1436714.497
"118",215376.235,17649.932,-3358.562,534384.107,1162094.816,1423.06,26785.697,118415.566,16344.1715,16344.1715,2105459.194
"119",584254.317,21460.495,65155.969,493459.679,1131398.811,909.738,36157.916,129215.696,16206.863,16206.863,2494426.347
"120",1097429.749,20325.318,153665.17,380591.682,1113848.688,644.804,37261.979,151843.849,14698.0755,14698.0755,2985007.39
"121",1575903.782,7533.821,19869.19,300745.08,1174284.093,1040.691,22892.445,102999.599,12403.516,12403.516,3230075.733
"122",840302.509,6526.528,62273.437,329114.082,662961.151,1748.732,28590.94,115050.238,14515.526,14515.526,2075598.669
