"","Hidráulica","Ciclo combinado","Eólica","Solar fotovoltaica","Otras renovables","Cogeneración","Generación total"
"74",16722.568,71659.826,63736.114,10222.013,588.439,6310.901,169239.861
"75",15352.383,-1202.611,98768.905,14660.418,834.937,6629.107,135043.139
"76",15571.498,43155.591,75032.368,12413.572,699.885,6872.508,153745.422
"77",16386.249,93243.333,115167.173,15144.664,605.819,7509.131,248056.369
"78",10306.085,146041.517,62134.196,15976.569,0.19,7057.647,241516.204
"79",13356.338,204875.795,52807.43,15910.401,268.977,7425.286,294644.227
"80",13845.794,158400.922,34514.628,15599.067,358.056,6747.761,229466.228
"81",8761.225,99661.996,71583.71,13201.877,430.838,6796.484,200436.13
"82",6984.066,168863.732,50447.606,10043.998,704.907,7698.944,244743.253
"83",10643.731,117265,100897.291,5253.618,867.725,7450.682,242378.047
"84",16996.922,70082.414,82976.293,5280.323,798.904,8680.461,184815.317
"85",17105.815,83513.99,68197.721,6043.202,634.365,6356.109,181851.202
"86",13882.706,36698.507,42804.9,10346.725,796.972,4325.348,108855.158
"87",17098.413,-865.078,86194.651,11976.377,575.286,4630.29,119609.939
"88",17539.641,-1150.717,57895.189,11432.086,444.327,6322.502,92483.028
"89",14973.754,-1098.548,59201.757,17245.595,319.561,6859.64,97501.759
"90",10002.007,-1090.341,40136.793,15606.519,665.713,6710.329,72031.02
"91",10431.662,16161.523,58869.573,18391.384,630.041,6969.527,111453.71
"92",10207.538,16715.98,57839.586,16649.497,635.009,6947.026,108994.636
"93",6860.884,131074.503,66897.092,14600.775,569.028,6452.361,226454.643
"94",6778.669,105519.743,85786.61,10674.666,707.711,7011.832,216479.231
"95",5013.458,136613.848,59266.503,6452.337,658.835,7030.637,215035.618
"96",9688.281,113011.89,107535.594,3536.516,802.813,6693.627,241268.721
"97",15402.108,121500.334,126564.559,5153.449,638.97,6580.386,275839.806
"98",20891.095,22463.42,80023.713,7717.789,651.574,4204.586,135952.177
"99",17755.933,10905.347,106078.27,13143.273,761.214,6400.232,155044.269
"100",12484.9,63201.733,78024.301,13292.921,695.302,6924.503,174623.66
"101",12626.526,39795.495,39047.666,16882.492,672.357,6877.664,115902.2
"102",10694.393,134812.223,38798.185,16963.17,680.36,7088.379,209036.71
"103",12821.849,117147.342,55639.61,18335.209,695.811,5773.562,210413.383
"104",14016.445,33206.054,49533.029,18802.174,645.334,7352.44,123555.476
"105",6190.632,55410.106,39129.84,12635.07,695.538,6989.612,121050.798
"106",2813.361,57263.568,56766.639,12394.702,588.318,6185.458,136012.046
"107",5796.517,123242.147,147507.567,7276.071,434.937,6836.105,291093.344
"108",9853.422,106180.709,85890.104,4184.007,700.953,6432.346,213241.541
"109",11875.04,68717.053,97861.89,10301.269,717.291,149.672,189622.215
"110",7291.198,73974.539,71520.125,10682.569,728.514,5061.757,169258.702
"111",12458.382,66825.625,119709.942,8339.997,520.382,4964.126,212818.454
"112",14409.094,53795.61,91652.363,14280.796,763.82,4145.848,179047.531
"113",13551.292,65209.281,76401.852,17491.252,721.958,4075.432,177451.067
"114",9182.006,56224.513,42467.761,16023.509,525.637,2301.271,126724.697
"115",10815.038,191022.565,52311.036,19219.397,382.424,5.976,273756.436
"116",11504.979,79936.07,43876.406,16329.545,634.947,2.89,152284.837
"117",4646.325,139246.965,56979.581,13319.713,714.954,0.002,214907.54
"118",1917.997,155921.69,65599.149,9965.841,842.794,0.516,234247.987
"119",2531.345,84134.338,76063.676,6713.757,759.183,5201.325,175403.624
"120",4246.429,148380.993,54158.249,4368.585,841.464,5146.616,217142.336
"121",10337.316,128065.526,113471.213,6607.227,1022.258,3436.236,262939.776
"122",10905.103,152120.296,69298.662,9504.411,975.746,5499.601,248303.819
"123",8015.007,80931.994,67871.752,12918.089,1004.141,6197.946,176938.929
"124",3734.222,49077.634,56468.288,15163.587,759.893,5450.38,130654.004
"125",2736.243,72686.219,94741.075,16283.209,886.078,5665.022,192997.846
"126",4625.159,29729.563,43278.811,14828.702,806.882,6037.029,99306.146
"127",6039.311,73215.158,35654.218,17549.553,691.081,5596.026,138745.347
"128",9143.689,64917.789,50436.117,16149.904,895.759,5946.763,147490.021
"129",3377.6,131157.388,36080.93,12909.743,837.198,5626.699,189989.558
"130",2380.451,124145.678,47156.728,10146.586,960.276,4259.197,189048.916
"131",11711.93,93871.738,68358.506,7880.412,943.705,2790.326,185556.617
"132",15427.318,121755.361,78491.202,6620.457,755.51,4166.634,227216.482
