"","Hidráulica","Solar fotovoltaica","Otras renovables","Cogeneración","Generación total"
"113",11478.368,9522.299,15230.653,51522.379,97883.875
"114",11473.97,9332.311,12384.953,48177.192,93086.876
"115",12039.887,9872.491,12195.342,49201.62,93278.218
"116",9481.739,9198.336,12352.94,20548.443,57314.198
"117",5276.139,7765.59,11615.309,20715.765,55018.462
"118",2613.965,5503.835,12696.356,16921.321,50788.553
"119",2654.629,3949.986,12183.234,17117.907,46694.356
"120",5467.745,2331.971,12381.86,21553.299,54617.22
"121",12431.437,4464.463,11881.086,31761.564,74281.963
"122",8575.886,5546.973,13368.215,43772.159,83070.997
"123",6620.715,7966.96,12769.817,41681.416,82359.387
"124",6372.79,9196.066,11324.589,35598.937,75922.932
"125",5715.233,8855.46,11872.312,50190.682,89598.517
"126",6891.109,8578.033,11783.18,51589.628,89449.497
"127",10575.969,21335.082,11839.844,31095.337,85841.096
"128",9392.096,23493.133,11387.551,25301.823,73522.844
"129",2662.358,18944.862,12687.131,32635.995,71274.861
"130",3152.3,15254.647,13293.064,27090.597,72290.571
"131",8417.765,11086.487,11794.663,26511.502,70002.158
"132",10434.955,10537.726,12687.338,23997.332,72193.419
