"","Hidráulica","Turbinación bombeo","Eólica","Solar fotovoltaica","Otras renovables","Cogeneración","Generación total"
"86",13735.378,24337.19,6888.136,145.21,5852.967,85548.539,143122.931
"87",19071.777,34198.05,6362.832,186.698,4479.663,38221.105,109484.851
"88",27640.193,45319.529,7338.098,188.535,6854.239,36166.132,129609.891
"89",15828.688,37746.69,3771.057,259.88,7105.815,61517.358,132759.318
"90",10297.485,24265.511,2525.293,237.966,6914.823,53428.703,104475.396
"91",10035.132,22516.14,1879.501,268.473,7061.127,50249.785,99085.909
"92",5798.843,21396.299,4528.121,219.533,7036.509,76710.22,122605.868
"93",5940.097,27637.731,4524.09,219.283,6931.219,80548.416,132617.766
"94",19866.496,42625.07,8390.82,146.433,7199.104,80705.682,165807.285
"95",11018.017,30531.02,10148.598,140.691,6458.625,69897.716,134944.999
"96",24967.619,37186.74,9874.142,74.397,6753.154,77017.857,162747.74
"97",33604.108,42793.93,4765.84,91.306,6093.836,79260.586,172799.312
"98",32883.652,59926.119,9074.002,113.972,6406.274,58491.854,169209.551
"99",24006.9,50050.161,7451.76,177.811,4349.544,78383.997,171184.329
"100",18199.794,23902.61,5379.714,222.155,6798.794,79473.255,140707.516
"101",17597.255,30279.46,4782.832,244.402,6706.936,76623.303,143171.433
"102",13223.311,11012.82,3419.318,213.546,6870.407,70074.456,111508.568
"103",10065.259,18130.479,2328.612,232.574,7134.66,77431.409,121996.736
"104",2833.783,28671.461,1485.593,233.561,6419.98,74023.026,120525.22
"105",5357.63,23804.429,4775.46,186.219,6471.388,73855.878,119960.623
"106",3268.006,35643.153,5284.029,186.187,7027.933,40599.61,98596.759
"107",20693.787,30964.719,7213.544,88.132,6898.387,70608.157,142009.548
"108",45093.278,34046.611,12319.492,102.61,6829.31,76965.696,181583.684
"109",32575.838,29555.14,6988.003,201.7,5185.987,75944.713,157196.425
"110",9669.908,30022.048,4720.671,303.565,4116.052,71988.355,127104.264
"111",26724.894,32730.65,12636.773,307.766,389.389,72360.442,152143.45
"112",31735.838,42907.019,6408.696,429.94,1001.752,60969.406,150196.558
"113",24540.616,41460.631,4419.569,524.895,7033.393,75077.505,159922.058
"114",10535.051,40988.67,2089.309,477.738,6279.587,59817.151,126808.215
"115",5556.471,40132.16,1673.752,583.065,6996.155,11408.163,73204.743
"116",4111.963,52036.029,2515.696,496.982,6978.53,4286.517,77150.008
"117",3272.709,45621.491,6176.781,416.198,6804.124,20784.983,89714.909
"118",3851.486,52287.91,10107.081,323.16,7020.76,57645.194,137681.051
"119",8309.807,48465.627,9985.111,231.527,6084.674,46098.825,121716.82
"120",11254.134,47456.77,11058.928,150.639,7067.748,28004.551,111963.466
"121",20331.236,58796.42,5901.238,201.162,6457.788,18219.822,116718.201
"122",25980.896,31473.92,4222.24,321.88,6250.748,67967.652,142578.169
"123",30847.735,54219.05,9095.827,423.986,4119.632,71553.113,177295.101
"124",10716.623,65127.52,3759.783,506.838,6536.202,48006.934,141488.236
"125",14360.097,60254.25,5414.059,527.574,7037.882,57746.998,152406.519
"126",15845.514,39854.929,2973.188,498.369,6716.654,67118.766,139788.902
"127",10479.851,44516.34,2135.73,616.443,7054.695,36112.877,107782.016
"128",3676.149,53678.27,3924.877,591.162,7039.047,25949.877,101604.091
"129",8339.765,46218.71,6180.096,502.515,6780.288,21033.463,95573.46
"130",6772.126,55131.889,8896.341,398.876,6918.053,58859.984,143921.332
"131",13152.659,59854.331,8371.91,237.826,6263.522,38273.664,132778.006
"132",18454.913,61526.02,8958.932,244.644,6909.192,45964.854,148942.903
