Fecha,Hidráulica,Solar fotovoltaica,Otras renovables,Cogeneración,Residuos no renovables,Residuos renovables,Generación total
04-2019,9552.571,7628.735,12888.082,77507.751,7359.627,7359.627,122296.39300000001
05-2019,8793.242,10747.47,13359.963,77220.71,6292.811,6292.811,122707.00700000001
06-2019,9590.487,10586.305,14537.617,69670.796,6373.761,6373.761,117132.727
07-2019,7660.623,10375.872,12972.72,63514.519,6502.889,6502.889,107529.51199999999
08-2019,6305.742,9774.529,12817.951,66770.413,5030.9495,5030.9495,105730.53400000001
09-2019,4911.483,8009.285,12928.104,64734.085,7633.6745,7633.6745,105850.30599999998
10-2019,4269.331,6472.266,13460.339,74346.951,7535.193,7535.193,113619.273
11-2019,7635.876,3916.796,13674.454,78013.19,7381.181,7381.181,118002.678
12-2019,15735.216,3434.892,14651.851,68978.627,8122.877,8122.877,119046.34
01-2020,12505.179,3726.171,15361.26,56044.185,8156.7815,8156.7815,103950.358
02-2020,8883.309,5207.19,15455.464,63476.273,7402.1775,7402.1775,107826.59100000001
03-2020,7810.953,6451.948,16061.73,71569.892,7525.094,7525.094,116944.71100000001
04-2020,12028.71,7228.153,14055.227,62364.505,6326.425,6326.425,108329.445
05-2020,10583.927,9324.62,14797.097,61952.907,6095.645,6095.645,108849.84100000001
06-2020,12005.759,9810.314,15521.964,61860.685,5705.6495,5705.6495,110610.021
07-2020,12281.391,9998.465,14499.984,64877.017,6789.8925,6789.8925,115236.64199999999
08-2020,9978.374,9429.589,14024.34,70412.283,5867.209,5867.209,115579.004
09-2020,7401.98,7745.752,13839.095,54687.014,6723.2945,6723.2945,97120.43000000001
10-2020,4474.834,6298.515,14226.017,53224.618,7727.4905,7727.4905,93678.965
11-2020,8052.323,3514.309,13750.782,59425.951,7395.6935,7395.6935,99534.752
12-2020,18567.381,3401.125,15735.508,61361.068,6873.68,6873.68,112812.44199999998
01-2021,26490.113,2725.131,12840.69,62523.627,5088.562,5088.562,114756.68500000001
02-2021,38930.522,4573.041,14136.785,53002.85,7136.069,7136.069,124915.33600000001
03-2021,24195.068,7409.164,15947.701,73407.06,6367.0315,6367.0315,133693.05599999998
04-2021,13088.903,6904.51,14197.974,42928.383,7378.2305,7378.2305,91876.23100000001
