Fecha,Hidráulica,Turbinación bombeo,Nuclear,Carbón,Ciclo combinado,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Generación total
03-2017,47208.331,4775.98,739450.191,0.0,56396.363,792198.22,149596.041,54433.226,23004.473,87002.923,1954065.748
04-2017,53951.103,0.01,715090.13,0.0,62605.813,586077.131,170609.649,82201.555,19191.42,88586.806,1778313.6169999999
05-2017,54323.214,128.38,101934.809,0.0,97720.91,565745.242,181853.325,91483.471,21600.797,93903.938,1208694.086
06-2017,20841.274,344.19,624033.804,0.0,151497.078,545309.443,182818.437,104274.533,19693.637,89164.456,1737976.852
07-2017,26409.056,4155.14,735421.62,0.0,81943.761,469911.038,188482.295,110555.159,25223.087,93878.367,1735979.523
08-2017,22359.924,3447.94,734017.01,0.0,156684.606,457862.347,167928.703,96972.389,24663.542,91825.764,1755762.2249999999
09-2017,22911.208,6015.14,714546.806,0.0,159193.469,393847.719,164493.574,85515.02,22532.511,75449.685,1644505.132
10-2017,23883.893,4124.63,739839.299,0.0,192156.162,314998.807,146549.326,54665.622,20663.163,94530.96,1591411.862
11-2017,22521.597,7045.28,716646.765,0.0,274556.429,544062.505,118551.286,23210.203,20506.825,97795.638,1824896.528
12-2017,21075.307,8730.15,739924.088,0.0,160048.118,1041780.425,90772.158,9482.261,23522.556,94729.155,2190064.218
01-2018,26884.47,10620.64,740146.666,0.0,170008.376,952939.293,93611.325,13418.482,22354.2,94187.627,2124171.079
02-2018,23587.021,5956.24,668016.925,0.0,101385.905,747029.963,107656.641,27973.224,21971.821,84304.962,1787882.702
03-2018,102606.865,8576.8,726757.195,0.0,136225.623,1529437.106,113760.271,30579.508,22885.859,82919.411,2753748.638
04-2018,103011.541,4637.63,713603.207,0.0,87084.015,919922.659,137487.545,39159.968,18615.858,70777.686,2094300.1090000002
05-2018,97394.105,487.02,405335.555,0.0,159607.837,430362.875,165098.17,77959.066,21194.954,87437.864,1444877.446
06-2018,88356.636,322.58,89823.769,0.0,140481.002,377573.601,166200.961,88516.102,22908.85,91886.017,1066069.518
07-2018,57954.232,1064.977,732196.777,0.0,70446.009,424037.827,194622.201,137161.352,24267.901,98202.363,1739953.639
08-2018,62272.58,767.817,732900.233,0.0,83271.815,384387.134,171330.81,103393.627,23665.485,105697.633,1667687.1340000003
09-2018,63507.23,376.144,711444.698,0.0,87040.932,287841.19,149369.991,68206.326,23617.55,113923.614,1505327.675
10-2018,33824.644,5459.75,739211.063,0.0,41506.309,556539.71,115509.122,41995.508,24866.383,121361.675,1680274.1639999996
11-2018,51394.319,1786.952,715185.263,0.0,140132.227,858227.687,74529.714,10446.156,22221.088,113088.933,1987012.3389999997
12-2018,57396.174,1246.672,739834.246,0.0,184559.675,606737.114,91452.187,11268.757,23524.387,109379.592,1825398.804
01-2019,56524.881,979.784,738544.917,0.0,129849.576,1003724.223,115653.651,23995.448,21393.916,113614.527,2204280.9230000004
02-2019,65394.535,0.088,668003.282,0.0,88708.28,611174.978,136833.657,41713.263,23117.681,106634.394,1741580.1580000005
03-2019,68060.45,1.544,737989.638,0.0,86044.215,654481.477,179329.581,71915.614,23279.412,117307.941,1938409.8720000002
