"","Hidráulica","Motores diésel","Turbina de gas","Turbina de vapor","Ciclo combinado","Eólica","Solar fotovoltaica","Otras renovables","Generación total"
"1",222.796,179857.03,34472.491,194068.794,278033.159,24542.069,20252.741,744.283,732193.363
"2",202.935,165998.486,28360.381,194765.835,221752.503,28387.059,19458.058,697.577,659622.834
"3",135.187,179033.259,31584.142,217694.986,244149.131,13294.339,23738.813,800.201,710430.058
"4",135.544,155919.565,36297.751,205583.553,242681.5,27647.999,27151.991,747.981,696165.884
"5",290.772,166034.244,25575.27,195789.121,248314.519,38088.171,27709.879,798.7,702600.676
"6",284.93,161016.578,22272.523,176122.754,243267.361,48342.129,30874.997,697.581,682878.853
"7",284.783,166449.491,31699.094,213944.977,262096.342,41479.147,30902.742,798.744,747655.32
"8",284.87,181710.92,33339.911,213465.726,269105.518,42313.802,26949.798,711.541,767882.086
"9",290.885,170566.372,28380.671,203363.681,269025.269,24539.765,24098.381,628.877,720893.901
"10",302.22,179170.713,35648.485,222809.974,262616.497,24189.817,22189.812,722.197,747649.715
"11",291.985,179914.098,32802.144,206131.407,245003.485,27762.66,17740.243,510.747,710156.769
"12",304.376,184075.314,28541.353,220056.191,249967.322,22146.528,15635.862,644.159,721371.105
"13",303.396,181768.586,26245.404,216697.507,247173.544,29456.386,18995.297,786.872,721426.992
"14",274.364,166356.324,32616.475,176742.116,226925.123,32605.983,20131.841,707.195,656359.421
"15",299.433,183785.667,19291.74,150180.23,278068.431,45693.779,27162.146,777.801,705259.227
"16",289.012,173057.852,21075.913,152334.8,273193.304,27505.592,25918.809,663.434,674038.716
"17",298.858,173462.034,24613.279,145996.242,277994.897,42524.829,29371.409,668.766,694930.314
"18",281.235,175271.106,28774.097,168776.14,249991.121,35023.161,27593.423,643.021,686355.324
"19",306.372,177522.811,25980.511,183304.363,269076.662,45177.292,27932.593,797.432,730106.675
"20",308.505,192306.311,19410.667,180445.913,262773.207,59087.231,29918.848,820.722,745345.649
"21",294.187,182600.031,50069.565,162070.836,316154.11,12367.693,21432.359,628.579,745719.003
"22",270.276,181848.684,36400.457,169781.14,334295.174,15750.273,20632.922,746.802,759886.168
"23",259.646,165674.377,36561.516,168773.923,296834.37,20598.572,16823.303,834.911,706515.373
"24",275.772,187048.568,39704.888,195668.218,256212.309,23738.015,16372.739,731.049,719939.093
"25",302.963,182931.25,27866.816,202134.491,254475.058,41468.698,18338.96,378.989,728282.214
"26",268.974,167024.787,28545.553,176199.239,224932.953,43676.997,17768.263,349.566,659110.673
"27",303.184,184985.012,23963.728,182029.195,253008.326,41791.704,25468.778,447.532,712202.314
"28",291.012,174671.349,23573.82,159569.774,259090.201,28966.517,25099.776,493.868,671852.862
"29",293.694,183635.156,36940.271,150479.185,259198.775,40093.75,29873.021,605.664,701299.031
"30",294.199,162310.734,35205.166,185133.955,240922.827,30388.71,27306.09,795.14,682683.027
"31",302.025,183941.36,28064.483,204034.609,255030.148,59610.985,30356.458,838.07,764250.299
