"","Hidráulica","Nuclear","Ciclo combinado","Eólica","Solar fotovoltaica","Solar térmica","Otras renovables","Cogeneración","Generación total"
"64",103011.541,713603.207,87084.015,919922.659,137487.545,39159.968,18615.858,70777.686,2094300.109
"65",97394.105,405335.555,159607.837,430362.875,165098.17,77959.066,21194.954,87437.864,1444877.446
"66",88356.636,89823.769,140481.002,377573.601,166200.961,88516.102,22908.85,91886.017,1066069.518
"67",57954.232,732196.777,70446.009,424037.827,194622.201,137161.352,24267.901,98202.363,1739953.639
"68",62272.58,732900.233,83271.815,384387.134,171330.81,103393.627,23665.485,105697.633,1667687.134
"69",63507.23,711444.698,87040.932,287841.19,149369.991,68206.326,23617.55,113923.614,1505327.675
"70",33824.644,739211.063,41506.309,556539.71,115509.122,41995.508,24866.383,121361.675,1680274.164
"71",51394.319,715185.263,140132.227,858227.687,74529.714,10446.156,22221.088,113088.933,1987012.339
"72",57396.174,739834.246,184559.675,606737.114,91452.187,11268.757,23524.387,109379.592,1825398.804
"73",56524.881,738544.917,129849.576,1003724.223,115653.651,23995.448,21393.916,113614.527,2204280.923
"74",65394.535,668003.282,88708.28,611174.978,136833.657,41713.263,23117.681,106634.394,1741580.158
"75",68060.45,737989.638,86044.215,654481.477,179329.581,71915.614,23279.412,117307.941,1938409.872
"76",66665.149,714692.388,152028.89,830498.321,148760.584,50141.503,21033.68,99685.31,2089360.985
"77",64692.345,209111.218,110475.056,557814.719,208269.494,99932.783,23410.206,117742.026,1398045.39
"78",48251.199,493808.004,154459.196,593152.913,210878.814,111991.519,20891.508,110224.973,1745185.407
"79",59170.406,731493.076,134265.413,567609.852,205256.022,105120.221,24602.275,108032.082,1935549.411
"80",51212.644,732457.846,115305.364,395720.567,216217.09,107288.293,22879.467,111018.709,1752298.004
"81",47172.254,707745.093,126117.008,504160.387,178864.707,58392.406,21157.323,107725.346,1754668.348
"82",24349.004,735320.861,169268.73,530463.773,166911.609,39471.469,22637.149,112397.832,1806555.811
"83",24587.189,712208.67,123480.513,1450603.674,106311.443,9268.323,23358.473,108637.958,2567919.923
"84",46057.884,710697.795,98079.628,824847.26,96228.184,4738.04,27306.579,98446.743,1915556.297
"85",42837.007,736296.024,178484.577,609470.64,124733.244,9914.829,22558.459,97839.873,1829239.628
"86",41127.482,679844.377,113295.825,428947.467,180871.14,28077.684,28162.871,82225.083,1593888.351
"87",74834.96,722133.86,71670.244,869059.177,206472.401,31005.43,37175.678,96172.18,2110585.844
"88",84727.773,613602.373,100945.951,505277.673,232128.58,29648.088,39401.13,87669.189,1698270.837
"89",81019.221,383675.772,64893.894,542464.047,323756.067,70197.939,46921.937,98738.932,1611941.249
"90",76267.721,225654.282,156277.507,524431.112,376355.772,89581.588,47535.038,98496.234,1594599.286
"91",73644.057,729776.607,298171.147,459931.195,389875.803,106774.165,45051.821,90928.647,2194153.489
"92",70583.172,730814.795,247919.434,434294.979,377898.344,104192.995,44728.144,77701.949,2088133.861
"93",42371.251,709692.609,284321.98,520800.002,296058.927,62579.541,44177.103,88314.133,2049202.506
"94",30150.68,736457.271,124365.416,734994.818,264718.507,44254.685,40519.955,100993.675,2076455.007
"95",33507.403,712471.3,279641.389,453348.283,158155.565,11889.641,48471.791,102351.846,1799837.218
"96",41917.384,736285.339,130076.604,1085171.316,151385.184,9296.278,44179.225,100512.939,2298824.269
"97",65930.749,720692.572,116814.953,1039601.3,147622.462,12293.822,42421.016,101801.234,2247178.108
"98",107799.992,396159.841,42780.951,822550.306,179416.838,21885.85,42108.756,76240.255,1688942.789
"99",72057.474,736700.002,53847.405,615884.455,279107.051,34415.726,47838.781,93453.57,1934435.091
"100",88528.372,712853.119,97349.898,463462.145,263484.831,38516.129,40034.14,90343.847,1794716.417
"101",84699.337,350579.505,94023.173,619434.686,418758.771,86040.151,48490.878,101621.936,1803877.63
"102",74257.308,132377.841,71528.848,484890.893,412116.956,86656.674,42484.133,110771.233,1415091.024
"103",68318.271,726251.979,42539.587,528758.071,475133.436,120940.042,49601.009,97932.737,2109503.064
"104",53936.446,726458.213,54250.145,451939.404,421491.823,90600.421,46938.27,109918.055,1955535.734
"105",51631.927,706645.238,95378.457,386811.239,361543.157,60921.652,47897.663,114852.226,1826244.521
"106",27011.151,733610.069,102436.686,409796.775,325402.741,41716.972,48665.902,108763.937,1803711.106
"107",37958.265,710798.923,222415.72,801762.851,255340.98,21788.45,46456.778,106121.189,2210479.044
"108",58865.234,734234.517,124787.862,1059295.771,207826.832,10534.448,52600.684,92173.477,2341728.882
"109",55035.319,733435.511,185993.049,645175.844,329088.845,24902.494,50765.934,90250.338,2115736.025
"110",26763.874,663821.016,114997.175,509590.254,346135.526,29835.811,44332.096,95644.364,1836626.509
"111",49814.405,734052.704,130945.76,1037671.393,269172.052,12364.627,50378.069,82690.007,2372469.79
"112",47282.156,710131.014,111680.654,793368.818,531224.253,55218.601,48246.641,38334.938,2348492.578
"113",45442.198,303376.487,101547.483,557015.526,745329.805,81133.389,44114.525,45869.921,1932231.925
"114",56671.724,197462.544,149845.727,491814.051,701254.39,61319.507,43013.316,22000.994,1724673.32
"115",66788.407,719555.05,100831.598,493131.324,719517.841,64451.973,43549.424,7508.977,2215398.879
"116",56317.215,724423.494,94848.289,622851.108,718096.311,62187.536,42829.003,1738.223,2326219.419
"117",41878.333,704997.77,156050.826,535001.121,626393.503,58439.027,40252.829,1713.497,2169991.628
"118",23853.524,730234.718,142817.422,549741.964,445259.275,23328.75,39531.616,31312.601,2000960.878
"119",24506.084,707154.039,80991.048,1178869.746,328974.463,13155.229,31898.879,60193.813,2437207.861
"120",61402.096,732935.047,101025.33,853305.546,220720.039,6581.571,27590.389,38668.737,2055502.483
"121",56905.379,684003.019,136013.318,993826.608,352637.845,11846.221,26387.311,47410.656,2324697.037
"122",57445.456,661664.354,185293.931,779313.352,422530.146,26383.245,31605.456,67047.267,2231912.258
"123",62990.325,720844.479,151544.536,953365.873,610853.031,59263.659,22343.091,60751.689,2646482.137
"124",53185.56,689020.77,74453.925,671865.716,770415.942,75732.663,27385.304,52899.165,2422861.98
"125",54318.771,534302.659,16040.748,538347.514,837884.885,59687.752,35293.715,59627.504,2139631.267
"126",51528.839,155638.137,-1079.22,391716.439,895978.103,64381.064,32000.453,54984.814,1647691.245
"127",40164.3,723808.989,39160.938,594527.822,1142471.165,97877.96,27711.177,39452.504,2709739.054
"128",40139.578,725210.591,52317.987,560915.577,1113031.898,100752.803,33703.016,41298.556,2673126.798
"129",51930.936,704673.012,111623.194,578736.186,814750.491,50287.663,23040.787,55445.404,2392487.829
"130",40243.198,730719.647,107577.994,935684.42,654995.011,27120.562,9489.44,42442.938,2557741.666
"131",44401.715,659726.503,165341.618,1147656.528,468131.438,3171.874,5169.708,31316.254,2531029.422
"132",60364.898,732957.28,141552.842,911803.487,453827.064,6217.799,7652.637,42106.828,2363163.267
