"","Tipo","2013M01","2013M02","2013M03","2013M04","2013M05","2013M06","2013M07","2013M08","2013M09","2013M10","2013M11","2013M12","2014M01","2014M02","2014M03","2014M04","2014M05","2014M06","2014M07","2014M08","2014M09","2014M10","2014M11","2014M12","2015M01","2015M02","2015M03","2015M04","2015M05","2015M06","2015M07","2015M08","2015M09","2015M10","2015M11","2015M12","2016M01","2016M02","2016M03","2016M04","2016M05","2016M06","2016M07","2016M08","2016M09","2016M10","2016M11","2016M12","2017M01","2017M02","2017M03","2017M04","2017M05","2017M06","2017M07","2017M08","2017M09","2017M10","2017M11","2017M12","2018M01","2018M02","2018M03","2018M04","2018M05","2018M06","2018M07","2018M08","2018M09","2018M10","2018M11","2018M12","2019M01","2019M02","2019M03","2019M04","2019M05","2019M06","2019M07","2019M08","2019M09","2019M10","2019M11","2019M12","2020M01","2020M02","2020M03","2020M04","2020M05","2020M06","2020M07","2020M08","2020M09","2020M10","2020M11","2020M12","2021M01","2021M02","2021M03","2021M04","2021M05","2021M06","2021M07","2021M08","2021M09","2021M10","2021M11","2021M12","2022M01","2022M02","2022M03","2022M04","2022M05","2022M06","2022M07","2022M08","2022M09","2022M10","2022M11","2022M12","2023M01","2023M02","2023M03","2023M04","2023M05","2023M06","2023M07","2023M08","2023M09","2023M10","2023M11","2023M12"
"1","Generación",483421.615,701195.744,946849.253,1367425.94,720789.542,490097.462,488861.868,619428.059,563449.615,580934.889,763044.102,560742.139,1055427.61,1762539.35,1674716.216,1808547.94,578410.81,510200.551,428117.421,458539.027,559687.044,512838.986,506836.021,821798.944,637510.904,883091.832,1103229.922,764016.645,837903.066,615367.367,585765.804,459010.939,486508.176,466845.138,550438.665,357216.641,1064810.658,1250785.637,1270890.058,1873413.577,1786868.031,706738.072,602820.32,681431.941,553720.12,658743.306,472717.184,587929.736,679865.372,395350.792,698081.623,396041.177,377772.185,366916.584,228639.717,195023.618,177554.596,217231.365,239168.623,202932.821,355847.936,428231.512,966951.655,1176007.645,787099.702,885313.016,790357.493,655200.102,646718.965,372850.292,454132.28,539618.774,498000.701,532852.413,525850.947,371615.305,295840.986,194490.28,349848.65,359216.117,399504.226,229935.938,410281.133,1326686.653,1150910.25,791605.827,549093.805,722562.473,573872.776,414579.573,401794.023,678064.64,498813.313,600696.52,860679.118,793402.037,1156726.799,1448328.696,1206854.01,688403.318,290441.517,437704.852,621623.371,890971.875,670404.721,436414.186,418506.807,499906.223,536516.595,225427.37,394115.428,390279.487,374208.697,233498.096,310307.15,275578.849,589962.693,106594.813,248528.751,746427.337,1095708.81,694364.416,457645.259,313328.012,282204.69,541962.418,362916.169,287609.633,286537.76,347014.693,914187.081,1003893.486
"2","Demanda",1261244.11,1156059.39,1189623.722,1078989.956,1079737.788,1035931.972,1187613.493,1117610.079,1059889.944,1086987.985,1159967.649,1229338.239,1240207.395,1155201.045,1175585.055,1049565.057,1088333.92,1078433.137,1159229.524,1099205.153,1084281.487,1079858.184,1116910.032,1202400.652,1265447.012,1183589.347,1201742.215,1056678.981,1096363.615,1100185.951,1272522.336,1120544.413,1066987.665,1114237.166,1148084.056,1200695.934,1225929.976,1186063.009,1231589.717,1133842.352,1101075.662,1116576.81,1212846.161,1164434.698,1117640.304,1103810.422,1183219.188,1213425.264,1282078.402,1136465.602,1213111.753,1084445.988,1134853.512,1185343.367,1201742.434,1152799.284,1099285.06,1129375.782,1193931.662,1254119.834,1286001.566,1197806.47,1285164.165,1138119.703,1143598.723,1111234.426,1212746.664,1190692.626,1130028.253,1160824.097,1216810.991,1213294.5,1304599.661,1139791.713,1205850.157,1138940.089,1168948.401,1142368.133,1245721.68,1164281.486,1097241.152,1160622.707,1207924.771,1205933.214,1289529.098,1158160.686,1127288.907,903667.226,975778.847,1031437.936,1226900.23,1126916.921,1084962.292,1156341.074,1143244.181,1205269.286,1267533.707,1100679.804,1190666.42,1076771.526,1107577.857,1082119.836,1195913.925,1139478.345,1061815.292,1074792.045,1177942.866,1192721.645,1220895.001,1118237.177,1170167.986,1079482.444,1094950.535,1109216.456,1203593.638,1126740.686,1035023.461,1032268.865,1081393.084,1103692.928,1188620.25,1097697.698,1125672.909,1000555.054,1039388.012,1011911.924,1118713.89,1085791.176,1002483.013,1060383.098,1126147.2,1153652.62
