"","Tipo","2013M01","2013M02","2013M03","2013M04","2013M05","2013M06","2013M07","2013M08","2013M09","2013M10","2013M11","2013M12","2014M01","2014M02","2014M03","2014M04","2014M05","2014M06","2014M07","2014M08","2014M09","2014M10","2014M11","2014M12","2015M01","2015M02","2015M03","2015M04","2015M05","2015M06","2015M07","2015M08","2015M09","2015M10","2015M11","2015M12","2016M01","2016M02","2016M03","2016M04","2016M05","2016M06","2016M07","2016M08","2016M09","2016M10","2016M11","2016M12","2017M01","2017M02","2017M03","2017M04","2017M05","2017M06","2017M07","2017M08","2017M09","2017M10","2017M11","2017M12","2018M01","2018M02","2018M03","2018M04","2018M05","2018M06","2018M07","2018M08","2018M09","2018M10","2018M11","2018M12","2019M01","2019M02","2019M03","2019M04","2019M05","2019M06","2019M07","2019M08","2019M09","2019M10","2019M11","2019M12","2020M01","2020M02","2020M03","2020M04","2020M05","2020M06","2020M07","2020M08","2020M09","2020M10","2020M11","2020M12","2021M01","2021M02","2021M03","2021M04","2021M05","2021M06","2021M07","2021M08","2021M09","2021M10","2021M11","2021M12","2022M01","2022M02","2022M03","2022M04","2022M05","2022M06","2022M07","2022M08","2022M09","2022M10","2022M11","2022M12","2023M01","2023M02","2023M03","2023M04","2023M05","2023M06","2023M07","2023M08","2023M09","2023M10","2023M11","2023M12"
"1","Generación",9443.239,9265.37,11010.636,9944.201,11518.238,12443.217,12575.705,13057.744,12370.994,11930.548,10108.937,10408.214,9813.063,10260.946,11486.632,12439.551,12818.041,11283.044,12661.707,12600.588,11721.02,9563.003,9190.936,7584.173,8325.584,7935.989,8792.53,10711.446,11234.442,10765.946,12659.361,12771.186,10478.34,7237.549,5060.828,6264.339,6267.944,5618.873,7499.049,9478.754,10677.998,10841.975,12372.411,12259.556,11028.694,8692.584,6785.704,2658.096,1832.836,3861.056,5646.878,8811.746,9754.461,10104.203,10684.911,10188.819,6116.44,4392.25,1663.706,1486.433,1377.049,1303.107,1944.871,6770.615,7857.954,9311.469,11419.256,11559.98,10065.652,7488.907,4556.233,4836.35,4832.856,6169.385,8314.541,5478.406,9242.694,10018.641,11466.179,11126.529,4749.934,3332.928,3980.782,3543.821,3933.761,2803.118,6611.028,7276.841,9539.247,10175.038,10655.094,11436.247,10774.231,8239.388,6428.965,5241.398,4268.739,5952.294,5158.942,7721.173,8313.676,7742.809,9297.514,9706.571,9516.188,7692.472,5692.786,4910.772,5307.576,5192.061,6268.848,5123.456,6862.081,8399.321,10963.346,11771.347,10171.566,4248.752,3121.981,3257.225,3626.343,3584.451,7660.851,8870.874,7052.074,5944.677,10531.654,9938.869,7533.149,6350.687,5820.84,5055.652
"2","Demanda",729942.927,664760.521,677454.887,638919.963,636011.008,665661.124,767954.006,750689.002,670936.979,687807.444,685230.268,726305.431,714366.236,658382.27,684369.061,646438.195,664706.877,693939.552,787218.122,785374.042,741479.785,679355.192,670911.192,728687.563,765484.164,708018.114,712508.407,653734.33,716397.344,745173.993,914676.099,840272.743,710072.189,713738.958,686147.654,738362.996,738822.756,697647.352,744168.216,695106.899,708272.392,773701.05,866836.049,839717.388,779435.708,729812.771,732041.039,733326.986,785471.791,691174.771,743049.076,705696.823,740527.18,824032.373,906583.572,884293.372,763067.84,752408.533,755346.188,824369.329,813698.083,741390.348,780145.32,736925.217,761407.194,789298.322,902760.658,903149.004,790124.881,729111.57,726074.295,766338.571,841665.36,722984.391,769206.22,717397.568,753933.437,781848.129,934973.704,891511.529,740195.578,748991.037,756543.658,777171.494,826921.959,710409.485,748455.972,630962.979,700712.044,751296.944,909611.101,904273.955,773862.263,737168.266,714052.423,796790.727,833740.735,704966.713,757147.666,706783.625,730774.566,757175.204,905457.514,901082.855,793300.95,707168.96,723781.406,781601.118,811561.251,722656.087,729863.818,668215.268,721898.89,806714.823,886779.236,873168.816,765406.544,691620.577,668684.694,704461.299,742370.159,719438.225,728846.334,650162.323,650823.432,674219.766,923073.878,868619.661,727862.888,720221.348,692047.691,770388.18
